PID,SSN,Depth,C,N,P,K,S,Ca,Mg
AO-BUowyi,icr072306,10,14710,986,6.0,126.0,12.0,265.0,87.5
AO-BUowyi,icr072307,35,9820,859,2.9,79.2,7.9,68.2,22.3
AO-CLO1K7,icr073208,10,17526,988,4.6,192.0,8.5,504.0,175.0
AO-CLO1K7,icr073209,35,15317,875,3.3,118.0,6.4,452.0,135.0
AO-COly0I,icr072736,10,3779,262,2.7,104.0,3.6,533.0,225.0
AO-COly0I,icr072737,35,3927,257,3.9,212.0,6.1,856.0,496.0
AO-d82HFT,icr073499,10,7001,368,2.2,62.6,7.1,272.0,98.2
AO-d82HFT,icr073500,35,10630,581,5.7,86.0,6.9,202.0,129.0
AO-DKW2Me,icr073479,10,6528,363,1.4,98.4,6.7,271.0,102.0
AO-DKW2Me,icr073480,35,11433,697,3.2,137.0,6.5,284.0,109.0
AO-dMZ2dP,icr072616,10,4410,240,2.1,146.0,3.7,634.0,240.0
AO-dMZ2dP,icr072617,35,3688,221,1.6,137.0,4.4,1000.0,458.0
AO-EB6pP5,icr072385,10,10762,577,8.1,29.8,9.2,76.4,10.1
AO-EB6pP5,icr072386,35,5102,345,4.1,5.8,7.1,43.3,11.3
AO-ehByHw,icr072266,10,9889,531,6.4,27.6,8.9,53.2,14.6
AO-ehByHw,icr072267,35,7235,350,3.2,6.8,6.7,18.5,7.1
AO-eKdQxc,icr073439,10,9558,574,4.5,81.7,6.3,306.0,84.5
AO-eKdQxc,icr073440,35,5166,269,2.2,54.2,7.8,302.0,87.9
AO-FpNC0z,icr072405,10,13968,643,10.0,29.6,8.6,238.0,25.8
AO-FpNC0z,icr072406,35,7036,364,5.5,5.1,6.7,64.2,9.0
AO-GcL00m,icr072716,10,3203,206,9.0,76.5,4.3,272.0,44.8
AO-GcL00m,icr072717,35,1880,152,4.0,87.2,5.3,218.0,40.8
AO-gQNEPl,icr072636,10,5052,269,1.7,104.0,3.4,755.0,206.0
AO-gQNEPl,icr072637,35,3953,231,1.3,106.0,3.8,998.0,298.0
AO-GsSz5S,icr072345,10,16512,914,5.5,57.2,10.1,106.0,28.3
AO-GsSz5S,icr072346,35,11445,633,2.7,41.1,7.4,20.8,9.2
AO-h16E3R,icr072445,10,17460,974,11.4,115.0,10.0,225.0,70.9
AO-h16E3R,icr072446,35,6731,396,5.5,15.0,7.3,53.7,15.3
AO-HhW0EE,icr073188,10,31074,1629,13.8,23.6,11.0,83.0,13.3
AO-HhW0EE,icr073189,35,16209,961,10.5,5.5,9.0,27.1,5.7
AO-HjD41L,icr072465,10,15297,925,1.8,69.2,8.1,97.0,27.3
AO-HjD41L,icr072466,35,24890,1386,4.5,168.0,11.4,488.0,122.0
AO-HoRU9L,icr072876,10,4414,417,3.7,41.0,2.1,571.0,44.6
AO-HoRU9L,icr072877,35,2253,203,2.0,66.0,1.6,376.0,53.7
AO-HZovgv,icr072796,10,2969,241,2.8,105.0,4.2,610.0,102.0
AO-HZovgv,icr072797,35,2790,211,2.3,150.0,4.0,557.0,123.0
AO-iUZtsy,icr073300,10,8761,498,1.7,68.9,5.8,331.0,111.0
AO-iUZtsy,icr073301,35,14133,760,3.1,92.0,6.7,368.0,138.0
AO-kQBILA,icr072676,10,5469,385,5.4,106.0,4.6,951.0,96.0
AO-kQBILA,icr072677,35,2280,184,2.0,95.0,4.0,627.0,161.0
AO-l1MeNh,icr073029,35,5506,322,10.0,1.0,8.4,23.6,6.8
AO-LcSVL0,icr073419,10,12652,788,6.8,121.0,7.3,475.0,94.9
AO-LcSVL0,icr073420,35,6159,396,2.8,64.2,5.2,254.0,59.2
AO-LfOifc,icr073320,10,8866,495,5.8,87.0,7.1,261.0,67.2
AO-LfOifc,icr073321,35,5921,288,3.0,78.9,6.7,212.0,52.2
AO-MBgBRt,icr072696,10,4701,326,5.3,59.6,4.0,448.0,51.5
AO-MBgBRt,icr072697,35,2209,143,2.5,47.2,3.3,346.0,38.1
AO-mPovUR,icr072246,10,15034,798,9.8,47.0,16.8,78.2,19.6
AO-mPovUR,icr072247,35,7876,415,4.5,21.1,12.5,9.0,6.3
AO-mShTdI,icr072505,10,25238,1439,6.4,134.0,12.0,310.0,76.2
AO-mShTdI,icr072506,35,15613,959,2.3,62.3,8.3,62.3,20.1
AO-NGL0EQ,icr072988,10,11461,672,11.8,35.7,7.8,171.0,56.1
AO-NGL0EQ,icr072989,35,19172,909,5.8,58.8,8.6,69.4,22.1
AO-nHrGvb,icr073008,10,5462,294,1.2,26.6,4.3,105.0,49.1
AO-nHrGvb,icr073009,35,10018,589,3.5,65.0,6.6,233.0,87.0
AO-oJa45z,icr072485,10,11516,794,5.4,45.3,9.0,184.0,45.1
AO-oJa45z,icr072486,35,7902,604,3.0,38.8,10.5,72.0,19.5
AO-qVuhxL,icr072525,10,15170,688,9.5,36.2,11.8,157.0,39.2
AO-qVuhxL,icr072526,35,9077,416,4.4,14.4,8.3,40.1,11.5
AO-rcifnj,icr072896,10,3983,285,3.7,24.8,1.7,261.0,40.1
AO-rcifnj,icr072897,35,2069,171,2.1,38.6,1.7,157.0,46.5
AO-RCuxFJ,icr072365,10,19991,1022,6.5,121.0,10.5,389.0,100.0
AO-RCuxFJ,icr072366,35,12687,731,3.0,48.2,9.2,99.2,25.6
AO-Rgapoi,icr072776,10,3873,240,13.5,91.0,3.1,421.0,66.0
AO-Rgapoi,icr072777,35,3020,234,6.0,128.0,4.1,634.0,161.0
AO-RhnxZI,icr072325,35,11960,590,8.6,23.1,10.0,82.0,19.1
AO-rspztk,icr072948,10,14661,766,8.8,54.6,11.8,44.0,10.8
AO-rspztk,icr072949,35,11280,554,4.3,23.6,7.9,37.2,10.5
AO-StsPDg,icr073558,10,8964,519,4.8,56.7,6.4,156.0,79.0
AO-StsPDg,icr073559,35,4618,231,1.9,54.7,4.9,80.0,55.2
AO-sySTDx,icr073379,10,8734,462,5.4,64.9,7.9,134.0,30.8
AO-sySTDx,icr073380,35,3817,189,2.9,27.8,4.9,93.7,28.5
AO-T9CcZx,icr073361,10,16757,1072,5.3,191.0,9.4,929.0,176.0
AO-T9CcZx,icr073362,35,9786,598,2.5,102.0,5.3,396.0,62.7
AO-TbOR2y,icr073399,10,15939,883,4.0,78.9,6.1,427.0,133.0
AO-TbOR2y,icr073400,35,7150,385,1.3,30.3,4.9,213.0,65.0
AO-uIigzz,icr072816,10,4968,393,10.0,65.9,4.5,924.0,61.0
AO-uIigzz,icr072817,35,2894,243,3.2,110.0,3.1,910.0,101.0
AO-UQLbJe,icr073459,10,8237,462,8.4,59.0,7.4,105.0,31.3
AO-UQLbJe,icr073460,35,8498,455,6.8,44.3,6.9,94.0,23.1
AO-urFruE,icr072856,10,2366,184,3.7,56.3,2.7,385.0,69.9
AO-urFruE,icr072857,35,1854,143,2.4,179.0,6.8,1120.0,208.0
AO-vHRfwf,icr073128,10,9363,526,14.4,27.8,8.3,319.0,55.7
AO-vHRfwf,icr073129,35,4933,275,8.5,10.0,6.9,197.0,30.1
AO-Vn639G,icr073228,10,17063,954,5.4,138.0,7.0,723.0,158.0
AO-Vn639G,icr073229,35,9209,520,1.7,91.5,5.3,411.0,112.0
AO-VTKDSJ,icr073088,10,57607,3577,3.4,47.5,9.7,158.0,43.6
AO-VTKDSJ,icr073089,35,86769,5010,8.0,172.0,12.4,338.0,93.0
AO-wYWnB2,icr072596,10,5869,457,7.9,124.0,6.8,719.0,123.0
AO-wYWnB2,icr072597,35,2244,151,2.4,226.0,4.5,501.0,156.0
AO-XSJ5EL,icr073578,10,10358,542,5.6,71.5,7.1,322.0,98.9
AO-XSJ5EL,icr073579,35,5372,257,2.1,33.0,6.0,166.0,62.6
AO-xumNuX,icr073248,10,28116,1484,24.3,164.0,10.8,992.0,350.0
AO-xumNuX,icr073249,35,7663,411,2.6,55.3,5.6,146.0,99.4
AO-XwIDaw,icr073048,10,11819,796,13.0,99.2,6.2,428.0,72.5
AO-XwIDaw,icr073049,35,8177,471,6.0,81.2,5.7,251.0,42.7
AO-YPt7BW,icr072425,10,14616,761,5.7,46.2,8.3,54.0,18.5
AO-YPt7BW,icr072426,35,7468,436,3.5,37.3,7.6,32.7,11.5
AO-zmfw4G,icr073068,10,8128,505,9.7,40.7,7.8,128.0,40.6
AO-zmfw4G,icr073069,35,10141,634,11.5,59.7,7.5,256.0,71.4
BF-1PVMCY,icr011182,10,3964,205,1.8,73.0,4.3,530.0,107.0
BF-1PVMCY,icr011183,35,7166,378,2.9,77.0,4.8,478.0,125.0
BF-29TzyM,icr011321,10,14135,732,4.1,77.1,6.7,880.0,212.0
BF-29TzyM,icr011322,35,8552,456,1.4,31.7,5.7,401.0,74.1
BF-7E4fCb,icr011111,10,16434,936,2.5,69.6,5.5,2470.0,549.0
BF-7E4fCb,icr011112,35,9302,500,0.5,43.1,4.8,1540.0,369.0
BF-AOn9SV,icr011077,10,15557,829,5.0,77.3,4.6,1850.0,326.0
BF-AOn9SV,icr011078,35,9771,477,1.2,45.5,4.8,1190.0,231.0
BF-BCqOsm,icr011144,10,22621,2061,5.1,105.0,6.1,2980.0,348.0
BF-BCqOsm,icr011145,35,15095,1090,4.2,72.5,5.4,2430.0,200.0
BF-D0lzWt,icr011067,10,14049,752,1.0,74.9,7.4,2260.0,671.0
BF-D0lzWt,icr011068,35,9842,507,0.3,52.5,6.3,2320.0,686.0
BF-dKcib3,icr011241,10,14712,959,9.8,111.0,6.3,1630.0,211.0
BF-dKcib3,icr011242,35,6372,537,0.8,47.1,5.3,784.0,148.0
BF-dxVws4,icr011222,10,8859,598,45.9,86.0,5.4,1300.0,114.0
BF-dxVws4,icr011223,35,3502,367,2.7,76.3,3.4,548.0,101.0
BF-elp2ql,icr011133,10,17610,829,1.2,89.0,4.5,1980.0,537.0
BF-elp2ql,icr011134,35,8080,401,0.2,40.0,6.0,1290.0,406.0
BF-EUbCwk,icr011281,10,7893,500,5.9,123.0,4.9,684.0,104.0
BF-EUbCwk,icr011282,35,5010,344,1.1,63.1,3.6,524.0,99.3
BF-HGxDv6,icr011037,10,43055,3576,5.3,126.0,9.8,4800.0,959.0
BF-HGxDv6,icr011038,35,33431,2267,2.4,79.7,7.8,4240.0,954.0
BF-q1MIHD,icr011164,10,17685,1265,5.8,51.2,8.8,457.0,78.4
BF-q1MIHD,icr011165,35,12944,796,2.8,29.6,7.5,157.0,32.1
BF-qmN5Fl,icr011097,10,3428,233,3.6,71.6,4.6,425.0,68.4
BF-qmN5Fl,icr011098,35,2157,124,1.6,44.9,4.2,320.0,53.0
BF-RgH3hX,icr011301,10,5508,349,3.8,60.3,5.1,517.0,71.5
BF-RgH3hX,icr011302,35,3233,232,1.2,55.0,4.3,466.0,75.5
BF-vcvRa3,icr011202,10,5456,483,0.9,74.0,4.9,694.0,126.0
BF-vcvRa3,icr011203,35,2944,292,0.5,50.8,4.3,453.0,88.9
BF-xaoNSk,icr011263,10,18965,1236,10.9,132.0,6.4,1510.0,257.0
BF-xaoNSk,icr011264,35,6595,577,2.8,116.0,4.2,1630.0,328.0
BW-0t4qKA,icr075183,10,2296,163,2.6,103.0,5.8,258.0,80.9
BW-0t4qKA,icr075184,35,1730,118,1.4,177.0,5.3,590.0,195.0
BW-1Lhlua,icr075123,10,2448,265,14.5,251.0,11.4,394.0,143.0
BW-1Lhlua,icr075124,35,2844,316,1.5,232.0,7.9,704.0,271.0
BW-2cDNpd,icr074560,10,4654,356,2.6,116.0,5.6,818.0,403.0
BW-2cDNpd,icr074561,35,3302,286,1.8,79.5,4.3,1140.0,455.0
BW-4wfKGU,icr074711,10,2345,183,2.8,59.6,3.7,420.0,133.0
BW-4wfKGU,icr074712,35,1753,140,1.6,45.3,3.3,288.0,128.0
BW-54rlK3,icr075224,10,6983,424,4.6,171.0,6.8,1260.0,232.0
BW-54rlK3,icr075225,35,7019,560,2.9,165.0,7.2,1900.0,391.0
BW-5K9CIp,icr074983,10,4220,292,2.4,236.0,4.8,841.0,217.0
BW-5K9CIp,icr074984,35,3772,300,2.0,243.0,5.7,1270.0,307.0
BW-8mhEpt,icr074544,10,17283,1369,27.3,210.0,13.0,3320.0,553.0
BW-8mhEpt,icr074545,35,13263,1057,6.9,179.0,16.6,9960.0,623.0
BW-95ROtO,icr074396,10,8970,680,5.9,208.0,7.4,2040.0,603.0
BW-95ROtO,icr074397,35,6676,460,1.6,74.5,5.2,1890.0,970.0
BW-9aoLcl,icr075043,10,2703,321,5.6,138.0,6.7,251.0,80.0
BW-9aoLcl,icr075044,35,2495,171,2.7,118.0,5.2,243.0,97.9
BW-A0XB56,icr075023,10,3246,323,7.7,266.0,12.4,362.0,142.0
BW-A0XB56,icr075024,35,2544,333,2.1,211.0,6.7,507.0,187.0
BW-aYmAPx,icr074691,10,9240,738,14.5,148.0,7.4,1700.0,195.0
BW-aYmAPx,icr074692,35,4796,364,7.6,115.0,4.6,1270.0,192.0
BW-bdC3uY,icr074671,10,2978,263,2.7,85.0,3.8,400.0,104.0
BW-bdC3uY,icr074672,35,1930,162,1.5,66.7,3.1,285.0,127.0
BW-bUy4IM,icr075240,10,3106,246,4.5,168.0,4.8,364.0,105.0
BW-bUy4IM,icr075241,35,2362,195,2.0,150.0,4.6,435.0,166.0
BW-C6Gm0M,icr074751,10,2216,119,2.8,25.6,2.6,128.0,37.7
BW-C6Gm0M,icr074752,35,1692,112,2.3,23.0,2.7,82.2,30.1
BW-d6RfCS,icr075063,10,7519,495,2.9,507.0,6.8,1930.0,842.0
BW-d6RfCS,icr075064,35,6187,411,2.8,299.0,11.3,3090.0,1130.0
BW-EZUgD6,icr074791,10,2420,250,4.3,171.0,6.7,463.0,156.0
BW-EZUgD6,icr074792,35,2182,283,1.8,109.0,3.8,405.0,156.0
BW-fILOCP,icr074529,10,12442,765,4.0,594.0,8.5,1980.0,1590.0
BW-fILOCP,icr074530,35,25803,1615,11.0,747.0,11.8,2280.0,1660.0
BW-guuSdP,icr074931,10,2526,222,1.7,49.7,3.4,494.0,139.0
BW-guuSdP,icr074932,35,2357,193,2.5,82.2,4.4,487.0,140.0
BW-IDpvy6,icr075260,10,1473,154,3.3,117.0,10.1,186.0,62.8
BW-IDpvy6,icr075261,35,1557,113,12.0,123.0,10.4,179.0,63.8
BW-jGnli1,icr074298,10,10214,721,3.3,463.0,10.4,3170.0,800.0
BW-jGnli1,icr074299,35,9712,682,2.1,335.0,13.0,3720.0,866.0
BW-jq9ht2,icr074891,10,1688,171,2.8,59.2,4.7,252.0,113.0
BW-Jqwziw,icr075203,10,7233,488,3.4,228.0,12.6,4140.0,1120.0
BW-Jqwziw,icr075204,35,5643,405,3.9,116.0,22.6,4070.0,848.0
BW-JXT3KN,icr075003,10,3472,288,2.4,224.0,4.7,502.0,272.0
BW-JXT3KN,icr075004,35,3541,289,1.6,264.0,4.0,704.0,386.0
BW-jxyXdZ,icr074831,10,2744,232,3.7,62.0,3.8,363.0,121.0
BW-jxyXdZ,icr074832,35,2535,212,2.2,66.2,4.7,349.0,136.0
BW-lPhdzp,icr074413,10,10499,733,3.9,262.0,11.5,7570.0,726.0
BW-lPhdzp,icr074414,35,11920,938,5.3,454.0,10.8,4170.0,681.0
BW-lUqABo,icr074454,10,15737,986,4.1,571.0,7.5,2680.0,1010.0
BW-lUqABo,icr074455,35,10906,715,3.1,455.0,9.7,3510.0,1260.0
BW-MJmeU1,icr074771,10,3445,234,3.4,72.2,3.9,466.0,134.0
BW-MJmeU1,icr074772,35,2824,157,1.8,48.5,4.3,394.0,122.0
BW-nk2XGy,icr074318,10,12196,760,4.1,453.0,7.7,3490.0,649.0
BW-nk2XGy,icr074319,35,11771,784,3.5,390.0,10.1,4910.0,633.0
BW-OP79iX,icr074509,10,3410,225,3.0,79.5,5.2,525.0,148.0
BW-OP79iX,icr074510,35,2426,176,1.2,48.6,4.2,531.0,188.0
BW-OZuFFW,icr074911,10,3635,258,2.9,98.5,3.4,578.0,150.0
BW-OZuFFW,icr074912,35,1995,158,1.9,83.5,3.8,637.0,158.0
BW-pbVpYT,icr074336,10,11795,601,5.6,387.0,12.3,8090.0,905.0
BW-pbVpYT,icr074337,35,8770,518,3.1,290.0,15.6,9500.0,1280.0
BW-PmteSp,icr075083,10,2613,205,4.2,183.0,7.2,294.0,111.0
BW-PmteSp,icr075084,35,2335,214,1.7,155.0,4.6,394.0,158.0
BW-PsGfY1,icr074580,10,6738,464,4.3,262.0,6.8,737.0,431.0
BW-PsGfY1,icr074581,35,4406,356,2.6,212.0,8.8,855.0,562.0
BW-Q4vvLt,icr074731,10,2050,214,2.4,68.5,3.5,491.0,121.0
BW-Q4vvLt,icr074732,35,1735,165,1.2,46.3,2.7,454.0,140.0
BW-qgBoNB,icr074651,10,2565,222,3.4,94.0,3.4,581.0,156.0
BW-qgBoNB,icr074652,35,2436,198,1.6,64.0,3.3,589.0,143.0
BW-QNZvou,icr074376,10,13676,1046,5.1,318.0,11.8,8880.0,551.0
BW-QNZvou,icr074377,35,12842,1092,4.1,148.0,14.4,11000.0,590.0
BW-R6TVpH,icr074851,10,2642,216,2.4,86.2,4.3,402.0,140.0
BW-R6TVpH,icr074852,35,2384,220,1.9,65.5,3.0,344.0,133.0
BW-Rj8RUZ,icr074871,10,2271,219,2.2,120.0,4.9,513.0,179.0
BW-Rj8RUZ,icr074872,35,2205,200,1.8,126.0,4.9,529.0,185.0
BW-Rn3llu,icr074470,10,10086,748,5.5,368.0,8.5,1700.0,482.0
BW-Rn3llu,icr074471,35,7771,700,4.4,316.0,12.9,4080.0,533.0
BW-T4ZHHK,icr074489,10,8752,644,3.8,263.0,8.5,2880.0,578.0
BW-T4ZHHK,icr074490,35,8808,689,4.8,201.0,9.0,3150.0,584.0
BW-uDL2rH,icr075103,10,3991,289,3.4,390.0,10.9,459.0,150.0
BW-uDL2rH,icr075104,35,3770,302,1.1,231.0,10.9,668.0,223.0
BW-uLMaup,icr074356,10,7556,490,5.1,141.0,5.8,589.0,214.0
BW-uLMaup,icr074357,35,3486,241,1.9,112.0,6.6,617.0,311.0
BW-Uz1CKC,icr074631,10,2920,206,4.1,31.1,2.2,110.0,33.2
BW-Uz1CKC,icr074632,35,1400,102,2.7,19.3,1.8,31.8,13.5
BW-v0JL22,icr075143,10,8797,653,3.9,419.0,8.8,3940.0,1180.0
BW-v0JL22,icr075144,35,4690,359,2.1,157.0,10.1,9690.0,1720.0
BW-YNU9uN,icr075163,10,4214,310,2.7,535.0,4.8,762.0,207.0
BW-YNU9uN,icr075164,35,3100,216,23.1,116.0,4.1,533.0,149.0
BW-z08IKD,icr074433,10,6151,439,4.5,178.0,6.8,1960.0,415.0
BW-z08IKD,icr074434,35,6509,485,4.0,105.0,11.8,4330.0,473.0
BW-zJK52z,icr074811,10,2247,320,3.3,45.1,3.7,278.0,92.7
BW-zJK52z,icr074812,35,2358,302,1.6,26.8,3.6,173.0,76.5
BW-zSM230,icr075280,10,1440,120,6.3,118.0,7.7,200.0,70.0
BW-zSM230,icr075281,35,1923,175,2.2,132.0,7.5,422.0,140.0
CM-1NGFu1,icr037851,10,17538,1301,1.7,102.5,10.3,307.1,115.5
CM-1NGFu1,icr037852,35,12191,983,0.8,48.7,8.2,173.3,79.9
CM-bo0hvV,icr038016,10,11379,973,3.8,117.2,11.5,237.8,89.2
CM-bo0hvV,icr038017,35,18486,1426,8.6,112.8,11.9,353.4,89.9
CM-bOniI5,icr037869,10,28571,2069,13.0,239.8,10.1,701.3,183.4
CM-bOniI5,icr037870,35,20215,1414,9.5,187.8,7.8,443.9,111.8
CM-CVdbgW,icr037755,10,38153,2798,3.4,261.8,8.4,819.4,252.9
CM-CVdbgW,icr037756,35,23097,1456,1.3,264.0,8.9,292.5,126.8
CM-E0DVS4,icr037901,10,23530,1893,3.4,145.4,8.3,577.1,223.3
CM-E0DVS4,icr037902,35,12916,881,1.5,88.8,6.2,363.7,149.6
CM-isGDJh,icr037843,10,19767,1522,3.7,90.8,20.3,321.6,99.8
CM-isGDJh,icr037844,35,14132,1030,1.1,40.6,24.1,137.1,58.3
CM-Jt4Zs3,icr037907,10,29885,2086,2.2,148.8,19.7,632.1,150.3
CM-Jt4Zs3,icr037908,35,18764,1491,0.9,88.7,18.5,219.4,69.3
CM-k1gT82,icr037787,10,17836,1319,4.7,128.8,11.9,83.9,73.7
CM-k1gT82,icr037788,35,9596,748,1.4,68.3,8.1,119.8,61.1
CM-lJ60Ux,icr037947,10,9352,551,4.4,145.8,10.0,199.4,72.2
CM-lJ60Ux,icr037948,35,4789,286,1.4,93.3,7.8,112.6,45.7
CM-lw0TAc,icr038056,10,13044,860,2.6,155.0,6.0,801.5,138.5
CM-lw0TAc,icr038057,35,17167,1047,3.7,161.9,7.2,939.8,152.0
CM-NltQDG,icr037969,10,10570,621,5.1,207.2,7.0,235.6,114.5
CM-NltQDG,icr037970,35,4259,253,2.0,175.3,7.8,120.8,59.7
CM-OfDn9V,icr037767,10,16452,1379,7.5,88.3,18.0,198.4,68.7
CM-OfDn9V,icr037768,35,12687,849,2.4,62.5,22.5,104.8,52.0
CM-QbSK73,icr037807,10,21330,1693,17.5,264.2,16.8,577.8,263.7
CM-QbSK73,icr037808,35,16044,1116,3.7,63.5,13.6,356.1,195.6
CM-tSk4Rm,icr037927,10,29920,2658,12.9,152.6,12.2,1380.8,350.2
CM-tSk4Rm,icr037928,35,15551,1208,5.4,70.2,12.7,420.0,126.7
CM-YFprGF,icr037986,10,39866,2588,3.0,109.9,8.1,1425.8,358.9
CM-YFprGF,icr037987,35,28970,1577,1.4,57.8,7.7,788.1,258.8
CM-yjVtLc,icr038034,10,34967,2112,4.7,126.7,13.1,387.0,129.3
CM-yjVtLc,icr038035,35,22264,1301,1.9,69.5,13.7,148.7,55.0
ET-0sh7IY,icr038170,10,15396,943,6.7,80.2,12.9,7372.1,1835.0
ET-0sh7IY,icr038171,35,13148,741,6.3,45.6,13.4,8794.1,2176.0
ET-1Dmony,icr030478,10,49953,2531,89.9,2540.0,158.4,10843.1,574.1
ET-1Dmony,icr030479,35,50376,2507,13.7,3745.0,259.5,14373.1,565.9
ET-1wc1Gq,icr030218,10,27402,1899,8.4,288.7,10.0,2498.0,488.7
ET-1wc1Gq,icr030219,35,17056,1284,1.3,134.0,8.3,1742.0,346.8
ET-2urfxb,icr033714,10,10867,966,60.2,1018.0,12.0,4220.3,1064.0
ET-2urfxb,icr033715,35,9251,749,20.5,1500.0,49.9,7745.3,1740.0
ET-4Cjktf,icr038234,10,26984,2054,15.0,182.8,15.1,7223.1,1292.0
ET-4Cjktf,icr038235,35,24655,2112,9.1,138.7,12.1,7181.1,1281.0
ET-71dXL1,icr030335,10,44584,2554,9.0,615.0,26.2,18510.0,426.5
ET-71dXL1,icr030336,35,33296,1907,4.3,395.6,32.5,20360.0,593.9
ET-7V5DSR,icr030571,10,33471,1289,2.9,401.3,32.6,11750.0,699.9
ET-7V5DSR,icr030572,35,36382,1034,1.8,285.7,35.4,11140.0,1010.0
ET-8kBycJ,icr038138,10,18545,1578,7.4,192.5,10.5,5279.1,922.4
ET-8kBycJ,icr038139,35,23951,1980,7.5,152.5,10.0,5463.1,969.7
ET-96Thq4,icr038331,10,18080,1169,5.9,109.2,11.6,8503.1,1736.0
ET-96Thq4,icr038332,35,17426,1174,3.5,77.8,9.5,8590.1,1770.0
ET-b7AcKm,icr030387,10,40105,2035,4.0,441.7,39.5,20593.1,610.4
ET-b7AcKm,icr030388,35,37223,1735,2.3,307.0,29.1,19083.1,885.3
ET-beh9Qd,icr033871,10,17390,1281,5.6,235.4,15.1,17238.3,1181.0
ET-beh9Qd,icr033872,35,18814,1489,8.9,352.8,14.2,13748.3,963.9
ET-bfxgF2,icr038273,10,20566,1434,6.6,160.4,15.5,7564.1,1447.0
ET-bfxgF2,icr038274,35,3149,195,9.3,75.4,9.6,8523.1,1594.0
ET-BM104o,icr030024,10,68865,4152,14.4,456.3,12.1,3819.0,821.2
ET-BM104o,icr030025,35,41665,2808,2.0,191.3,8.3,2276.0,522.8
ET-bqw8ig,icr038189,10,25933,1931,273.0,1126.8,27.4,6274.1,1320.0
ET-bqw8ig,icr038190,35,12537,1000,142.6,710.2,16.7,6584.1,1453.0
ET-Cpfe92,icr030458,10,32418,1612,3.3,490.0,41.9,14783.1,802.8
ET-Cpfe92,icr030459,35,33105,1849,4.5,492.2,23.2,14543.1,750.9
ET-cw0nz2,icr033811,10,10678,868,2.0,466.5,13.7,7612.3,2110.0
ET-cw0nz2,icr033812,35,9269,647,2.2,311.9,30.0,9612.3,2749.0
ET-d9cnRX,icr033621,10,10012,793,35.5,743.0,17.5,8758.3,775.4
ET-d9cnRX,icr033622,35,10830,1043,31.2,1156.0,25.5,11858.3,1111.0
ET-E53ZwX,icr033851,10,18512,1365,3.2,1311.0,20.1,4898.3,1068.0
ET-E53ZwX,icr033852,35,12879,882,2.5,1125.0,20.6,11508.3,1407.0
ET-Ecv3d5,icr030430,10,62455,2659,5.2,416.7,39.1,13823.1,511.3
ET-Ecv3d5,icr030431,35,55704,2222,5.1,337.1,39.8,12343.1,498.9
ET-EfT3M5,icr030163,10,44716,2210,48.0,263.1,10.4,5799.0,1056.0
ET-EfT3M5,icr030164,35,21057,1143,8.1,245.2,8.3,5621.0,1018.0
ET-EvzHrd,icr030143,10,38195,2305,22.5,210.4,9.6,3233.0,563.7
ET-EvzHrd,icr030144,35,26219,1592,2.5,129.6,8.2,2704.0,510.9
ET-FHKUkg,icr033791,10,15647,1526,8.9,455.0,11.1,7564.3,1198.0
ET-FHKUkg,icr033792,35,14384,1137,5.8,226.6,11.6,13248.3,1460.0
ET-fjDdKT,icr030123,10,16842,1266,15.5,300.1,11.4,1565.0,279.2
