SSN,Site,Lat,Lon,Depth,wA,wCN,wK,wV1,wV2,A1,A2,A3,DA
icr010039,Mbinga,-11.0794,35.151798,35,12.78299656,2.608013938,0.59728532,3.102002104,-1.473949345,0.519489587,0,0.480514537,1
icr010058,Mbinga,-11.057103,35.151737,10,8.845297455,2.393726828,0.07768524,4.028006947,-3.427941495,0.197739761,0.082201433,0.720058805,3
icr010059,Mbinga,-11.057103,35.151737,35,8.42048117,2.468024442,0.0607948,4.105444637,-3.70366903,0.147862601,0.107416373,0.744721025,3
icr010078,Mbinga,-11.1173,35.174099,10,8.85038021,2.140967736,0.0885636,4.01579816,-3.185292281,0.242369655,0.051467535,0.70616281,3
icr010079,Mbinga,-11.1173,35.174099,35,9.16543544,1.969325702,0.0814192,4.174221162,-3.185835362,0.244354853,0.027343472,0.728301675,3
icr010098,Mbinga,-11.1051,35.172298,10,9.9021137,2.402692334,0.08543624,4.112594318,-3.336574827,0.21571862,0.057007203,0.727274177,3
icr010099,Mbinga,-11.1051,35.172298,35,10.03358511,2.553859658,0.06789876,4.242671769,-3.627343313,0.16375799,0.076202786,0.760039224,3
icr010118,Mbinga,-11.0794,35.1693,10,10.44438131,1.832115086,0.064367,4.553207623,-3.348625284,0.213327341,0,0.786673579,3
icr010119,Mbinga,-11.0794,35.1693,35,10.28906441,2.089542048,0.05995904,4.492874624,-3.551038543,0.1811367,0.027736461,0.791126839,3
icr010138,Mbinga,-11.0581,35.169498,10,7.711710825,1.983876064,0.13839916,3.58536059,-2.662665844,0.333175058,0.046999117,0.619825824,3
icr010139,Mbinga,-11.0581,35.169498,35,8.256415885,2.178268774,0.10983504,3.768150944,-2.987306096,0.275655942,0.062693991,0.661650067,3
icr010158,Mbinga,-11.1291,35.200699,10,7.277239195,2.308633462,0.43265408,2.647109403,-1.674472536,0.503234681,0.057546101,0.439219218,1
icr010159,Mbinga,-11.1291,35.200699,35,9.52209746,2.27358028,0.45951972,2.975631939,-1.598929227,0.519590748,0,0.480409547,1
icr010178,Mbinga,-11.0988,35.195202,10,7.58815642,2.146232702,0.34682692,2.898928448,-1.822643487,0.479198703,0.038990042,0.481811254,3
icr010179,Mbinga,-11.0988,35.195202,35,7.42671754,2.63206707,0.25125372,2.949126981,-2.349061509,0.382688027,0.102044336,0.515267637,3
icr010198,Mbinga,-11.0871,35.191799,10,8.691681105,2.196811856,0.18768204,3.473821079,-2.460013178,0.369114423,0.03681,0.594075577,3
icr010199,Mbinga,-11.0871,35.191799,35,8.87683321,2.376153254,0.18836952,3.447171039,-2.534832614,0.354952691,0.050932035,0.594115274,3
icr010218,Mbinga,-11.0615,35.193199,10,7.69158765,2.495665768,0.88302088,2.193403557,-1.038961966,0.614571063,0.041466224,0.343962713,1
icr010219,Mbinga,-11.0615,35.193199,35,8.879421825,2.811523922,0.79840692,2.372588746,-1.258863544,0.576338196,0.043640656,0.380021149,1
icr010335,Kontela,14.77008,-11.033153,10,5.01783178,3.317014684,0.934501,1.396448829,-1.266807769,0.562022079,0.193800414,0.244177507,1
icr010336,Kontela,14.77008,-11.033153,35,7.96031234,3.498409256,1.02948108,1.911715493,-1.223253497,0.576844618,0.109248945,0.313906438,1
icr010355,Kontela,14.800267,-11.035792,10,7.704833045,3.297454652,1.50701008,1.653611426,-0.783023245,0.654709074,0.089528346,0.25576258,1
icr010356,Kontela,14.800267,-11.035792,35,8.282188665,3.448432546,1.51271212,1.717593727,-0.824015648,0.647984537,0.085263005,0.266752458,1
icr010375,Kontela,14.821522,-11.032858,10,4.559080075,3.61131241,1.3039878,0.989828912,-1.018644147,0.602477934,0.222566781,0.174955285,1
icr010376,Kontela,14.821522,-11.032858,35,5.985501415,3.611980776,1.28352516,1.363209061,-1.034645989,0.60443925,0.167687652,0.227873098,1
icr010395,Kontela,14.83678,-11.033568,10,7.210502055,3.537265168,1.53684132,1.505329378,-0.833624658,0.643416609,0.118974503,0.237608888,1
icr010396,Kontela,14.83678,-11.033568,35,6.612172985,3.638800984,1.57474708,1.354717187,-0.837559552,0.640707641,0.14250716,0.216785199,1
icr010415,Kontela,14.76583,-11.011,10,9.347186445,3.862631884,2.0591374,1.597676548,-0.629061629,0.682392527,0.077387738,0.240219735,1
icr010416,Kontela,14.76583,-11.011,35,9.203697815,3.096178914,1.8632056,1.791162328,-0.507870298,0.707310234,0.031553928,0.261135838,1
icr010435,Kontela,14.800172,-11.011758,10,6.83262095,3.313430762,1.40167736,1.538508608,-0.860314503,0.638926696,0.117492452,0.243580852,1
icr010436,Kontela,14.800172,-11.011758,35,8.446272845,3.269266114,1.54835324,1.763795367,-0.747373589,0.66274008,0.067909862,0.269350059,1
icr010455,Kontela,14.824458,-11.008533,10,7.84478831,3.783362114,2.3732888,1.283206046,-0.46633639,0.70829035,0.103557689,0.18815196,1
icr010456,Kontela,14.824458,-11.008533,35,9.3473565,2.862572844,2.19085048,1.75611768,-0.267431001,0.751231593,0.004604797,0.244163611,1
icr010475,Kontela,14.83877,-11.011252,10,5.366425635,3.343115358,1.3334416,1.243771837,-0.919139845,0.624188278,0.170412477,0.205399245,1
icr010476,Kontela,14.83877,-11.011252,35,7.510743605,3.266032726,1.340923,1.70382317,-0.890217832,0.635583007,0.096260187,0.268156807,1
icr010495,Kontela,14.777712,-10.98879,10,5.546683935,4.108843838,1.3589188,1.137712968,-1.106452301,0.588216145,0.211776,0.200007855,1
icr010496,Kontela,14.777712,-10.98879,35,5.818016135,4.651224178,1.3874964,1.104858164,-1.209629477,0.568738181,0.230655442,0.200606377,1
icr010515,Kontela,14.806622,-10.98228,10,6.37944327,3.306672058,1.31168488,1.492604615,-0.924629784,0.626450471,0.133144097,0.240405432,1
icr010516,Kontela,14.806622,-10.98228,35,8.44939052,3.403177936,1.4134454,1.798299113,-0.878679412,0.638956544,0.080280108,0.280763349,1
icr010535,Kontela,14.825788,-10.99383,10,8.767865745,3.29180427,2.58999328,1.46606382,-0.239780544,0.752517383,0.045192006,0.202290611,1
icr010536,Kontela,14.825788,-10.99383,35,11.25739537,2.91131622,2.33914396,1.949106824,-0.218820255,0.741137195,0,0.258866136,1
icr010555,Kontela,14.839553,-10.990747,10,6.37755377,3.568858254,1.85463232,1.210424674,-0.654559262,0.672588221,0.139960824,0.187450955,1
icr010556,Kontela,14.839553,-10.990747,35,8.142592405,3.594212204,1.7668236,1.563806016,-0.710141472,0.666980138,0.09345366,0.239566202,1
icr010575,Kontela,14.778188,-10.964785,10,6.35729833,3.225259494,1.2191312,1.553370072,-0.972874936,0.618344804,0.130344454,0.251310742,1
icr010576,Kontela,14.778188,-10.964785,35,6.4292127,3.286931032,1.27646164,1.525105306,-0.945862406,0.622958974,0.131032535,0.246008491,1
icr010595,Kontela,14.791098,-10.958333,10,5.15565191,3.056546538,1.57919548,1.137323946,-0.660370169,0.670553304,0.15190666,0.177540036,1
icr010596,Kontela,14.791098,-10.958333,35,5.46182649,2.918845858,1.58407524,1.24291829,-0.611187492,0.681021953,0.129171087,0.189806961,1
icr010615,Kontela,14.821367,-10.967457,10,5.83942417,3.12957449,1.65452172,1.256570237,-0.637385073,0.676365854,0.130605437,0.193028709,1
icr010616,Kontela,14.821367,-10.967457,35,6.20489126,2.998877262,1.52488456,1.420346071,-0.676319264,0.671334903,0.11082144,0.217843657,1
icr010635,Kontela,14.843992,-10.96401,10,5.729247425,3.614041068,1.45249696,1.222038462,-0.911542439,0.62530459,0.172711292,0.201984119,1
icr010636,Kontela,14.843992,-10.96401,35,5.683105835,3.7871894,1.33764736,1.234972827,-1.040711791,0.60163149,0.188088953,0.210279557,1
icr010687,Koloko,12.450307,-6.327395,10,5.86549927,2.896505346,0.8054974,1.793977039,-1.279800261,0.56485677,0.134828697,0.300314533,1
icr010688,Koloko,12.450307,-6.327395,35,7.465433395,3.172154526,0.94594552,1.947817504,-1.20998132,0.579769767,0.101951792,0.31827844,1
icr010707,Koloko,12.472217,-6.326855,10,5.62625078,3.308779726,0.76443732,1.684614903,-1.465194704,0.529195199,0.176439076,0.294365725,1
icr010708,Koloko,12.472217,-6.326855,35,7.067920385,3.650247768,0.71375252,1.969037681,-1.632014034,0.502146106,0.155408537,0.342445357,1
icr010727,Koloko,12.492743,-6.33263,10,7.032435575,2.674880088,0.3529064,2.639142707,-2.025456965,0.43834161,0.105915797,0.455742593,3
icr010728,Koloko,12.492743,-6.33263,35,10.66560397,2.393937376,0.2886068,3.40253239,-2.115629519,0.431745758,0.001432297,0.566821945,3
icr010747,Koloko,12.51337,-6.32173,10,5.37630772,3.33359259,0.6725172,1.704453797,-1.60077817,0.504429008,0.191623863,0.303947129,1
icr010748,Koloko,12.51337,-6.32173,35,7.88764217,3.704770074,0.74107648,2.080416502,-1.609272646,0.507810104,0.135341707,0.356848188,1
icr010767,Koloko,12.452353,-6.309545,10,5.821379445,3.181788434,0.4571068,2.098979521,-1.940281657,0.446953526,0.176975749,0.376070726,1
icr010768,Koloko,12.452353,-6.309545,35,7.99114898,3.015345974,0.4728784,2.534581023,-1.852631581,0.468867012,0.098668045,0.432464942,1
icr010787,Koloko,12.466142,-6.312132,10,9.25624481,3.427435656,0.7182818,2.366451883,-1.562705667,0.520171208,0.085397551,0.394431241,1
icr010788,Koloko,12.466142,-6.312132,35,12.33463711,3.299096742,0.6804704,2.810763265,-1.578619672,0.523082461,0.019672811,0.457244728,1
icr010808,Koloko,12.491103,-6.314947,10,6.2716284,2.921446416,0.38632332,2.36738258,-2.023159485,0.435188311,0.147114917,0.417696772,1
icr010809,Koloko,12.491103,-6.314947,35,9.205965215,2.170899742,0.35948464,3.125096969,-1.798225538,0.486683245,0.001165363,0.512151392,3
icr010826,Koloko,12.519647,-6.302163,10,7.455872525,2.989638918,0.68892236,2.196985362,-1.467779316,0.535462838,0.098528477,0.366008685,1
icr010827,Koloko,12.519647,-6.302163,35,10.56018876,3.164567894,0.66743524,2.644319132,-1.556329432,0.525005981,0.042100381,0.432893638,1
icr010845,Koloko,12.451908,-6.288508,10,4.146413275,3.393443896,0.33195848,1.816924969,-2.324590682,0.372301036,0.271685731,0.356013234,1
icr010846,Koloko,12.451908,-6.288508,35,6.970875665,3.141210104,0.29065576,2.649659506,-2.380223776,0.372993661,0.151970526,0.475035812,3
icr010865,Koloko,12.470887,-6.281817,10,9.359014715,3.445696672,0.78398332,2.319280975,-1.480493645,0.534725774,0.081557538,0.383716688,1
icr010866,Koloko,12.470887,-6.281817,35,12.57105135,3.304966596,0.63725352,2.878636442,-1.646014078,0.511535598,0.018360158,0.470104244,1
icr010885,Koloko,12.497847,-6.286193,10,9.05232997,3.726170816,0.55087368,2.457941997,-1.911630867,0.456967477,0.118299885,0.424732637,1
icr010886,Koloko,12.497847,-6.286193,35,9.98275756,3.523626822,0.47897136,2.718894927,-1.995605281,0.444901772,0.089724283,0.465373945,3
icr010905,Koloko,12.514257,-6.280505,10,11.56003658,2.940010664,0.60180112,2.8830154,-1.586241462,0.522626666,0.009661198,0.467712136,1
icr010906,Koloko,12.514257,-6.280505,35,14.10062049,3.225126322,0.54649268,3.150466568,-1.775206485,0.487273943,0,0.512726672,3
icr010925,Koloko,12.448383,-6.263188,10,9.818087635,3.358259162,0.76594708,2.415781458,-1.478064931,0.536444401,0.066492077,0.397063521,1
icr010926,Koloko,12.448383,-6.263188,35,8.144557485,3.309124104,0.56053884,2.384582021,-1.775540277,0.481122738,0.111221608,0.407655654,1
