"GID","x","y","SSN","Site","Lat","Lon","Depth","C","N","P","K","S","Ca","Mg","Fv","V1","V2","V3","V4","V5","V6","V7","BP","CP","WP"
"E10202-S25406",1020132.9215703,-2540536.40932176,"icr074141","Gambisa",-18.1141,29.4552,35,5729,488,3.3,64,7.1,327,367,993014.6,-15.7019176214462,-13.7080148307802,-6.74264601467522,-1.57889710047558,-0.766172315574835,-0.115401677157317,2.46298086855543,0,0,0
"E10205-S25363",1020439.41076206,-2536270.84263495,"icr074175","Gambisa",-18.0749,29.4566,10,9787,641,2.2,143,8,2030,873,986515.8,-14.6858081183056,-12.8104612343151,-10.0236417947086,-2.96585143623285,-1.29098418131557,0.84385551619623,2.72578079650515,0,0,0
"E10205-S25363",1020439.41076206,-2536270.84263495,"icr074176","Gambisa",-18.0749,29.4566,35,4979,330,0.6,95.7,5.6,2750,1000,990839.1,-15.4329510822431,-11.9813019522978,-12.0865568963693,-4.17606127342656,-2.23359222150709,1.01160091167848,2.71389169218166,0,0,0
"E10206-S25386",1020591.61781599,-2538589.43532153,"icr074159","Gambisa",-18.0962,29.4588,10,6763,582,1.6,208,7.3,874,521,991043.1,-15.1589135866769,-13.0426153621483,-9.68143400925941,-1.46423582725685,-1.51787071890861,0.517330333902169,2.4527514098435,0,0,0
"E10206-S25386",1020591.61781599,-2538589.43532153,"icr074160","Gambisa",-18.0962,29.4588,35,5099,444,2.4,183,7.9,1300,584,992379.7,-15.0826412666175,-11.7404074330022,-9.54063474047207,-2.06399393161611,-1.19139402211908,0.800218560621401,2.44097515862293,0,0,0
"E10228-S25425",1022743.59016499,-2542436.56804396,"icr074193","Gambisa",-18.1315,29.4801,10,8150,695,4.2,99.2,9.6,138,248,990656,-15.5896263203398,-14.8489453887146,-5.32966335308623,0.167765051732314,-0.826678573184466,-0.586175061007777,2.46186136067012,0,0,1
"E10228-S25425",1022743.59016499,-2542436.56804396,"icr074194","Gambisa",-18.1315,29.4801,35,6910,608,3.1,76.2,9,120,284,991989.7,-15.8257305227123,-14.8362538916421,-5.54659801301608,-0.208501776458194,-1.06582246584512,-0.86148249537916,2.43055003479555,0,0,1
"E10234-S25381",1023346.06461988,-2538041.17741719,"icr074231","Gambisa",-18.0911,29.4842,10,4035,333,1.9,78.5,9.2,486,1060,993996.4,-15.5447822926514,-11.8458084173904,-8.6171763479915,-2.75203646864217,-1.5773495978826,-0.779815563205618,2.4946190907236,0,0,0
"E10234-S25381",1023346.06461988,-2538041.17741719,"icr074232","Gambisa",-18.0911,29.4842,35,7993,587,3.3,174,19.5,812,964,989447.2,-14.5947454126859,-11.9899493173506,-8.05778102396948,-1.90400735958256,-1.77649199709727,-0.171590954448869,2.61129661779792,0,0,0
"E10234-S25403",1023352.81782709,-2540207.02937011,"icr074211","Gambisa",-18.111,29.485,10,10871,700,4.8,121,7,809,295,987192.2,-15.0200787558903,-14.0295853803504,-7.3714580990035,-1.29440307477918,-0.37729423114147,1.00882356071867,2.7427736371606,0,0,1
"E10234-S25403",1023352.81782709,-2540207.02937011,"icr074212","Gambisa",-18.111,29.485,35,7734,563,3.9,78.5,6.1,545,376,990693.5,-15.3984308464979,-13.8447573891701,-7.31726317985346,-1.7603312545916,-0.447312218043665,0.37119665127335,2.62010184402755,0,0,1
"E10235-S25356",1023426.09825137,-2535559.828381,"icr074248","Gambisa",-18.0683,29.4841,10,10389,794,1.8,83.7,5.7,857,418,987450.8,-15.2875440498604,-14.8585049063607,-8.72879556207413,-2.2025704468259,-1.15267950993839,0.717956486073023,2.5714193718234,0,0,1
"E10235-S25356",1023426.09825137,-2535559.828381,"icr074249","Gambisa",-18.0683,29.4841,35,7914,611,3.7,255,8.8,4570,632,986005.5,-14.3294822340482,-11.4010079007043,-10.2976607874208,-2.69821823823826,-0.866418901833981,1.97837908974139,2.56129166277377,0,0,1
"E10283-S35652",1028231.75977873,-3565147.73093482,"icr048451","Madadeni",-27.6111,30.0127,35,5122,424,1.1,143,18.2,1820,1560,990911.7,-14.8087554863806,-10.9784333302342,-10.4231427724525,-3.49418528581978,-2.80611141427842,0.154150679827258,2.49156681152751,0,0,0
"E10283-S35652",1028231.75977873,-3565147.73093482,"icr048450","Madadeni",-27.6111,30.0127,10,11151,677,1.9,141,11.4,1240,807,985970.7,-14.7330750572837,-13.3010714384888,-9.25463858719728,-2.43258604801379,-1.79175946922806,0.429542990329134,2.80161318605309,0,0,0
"E10295-S35632",1029464.91291272,-3563141.43151647,"icr048469","Madadeni",-27.5922,30.0235,35,18217,1220,1.9,117,20.9,2920,985,976518.2,-14.0774416281732,-13.8600426834771,-9.19952357305758,-3.35677874860522,-2.39789527279837,1.08669725409024,2.70350436530353,0,0,1
"E10295-S35632",1029464.91291272,-3563141.43151647,"icr048468","Madadeni",-27.5922,30.0235,10,21543,1576,4.9,201,16.3,2440,807,973411.8,-13.750675949154,-13.9033428522159,-8.50275705749858,-2.27654755430972,-1.20192990269614,1.1064296500173,2.6151609463606,0,0,1
"E10296-S35606",1029553.32393145,-3560599.71136119,"icr048486","Madadeni",-27.5684,30.0228,35,8734,357,1.4,204,14.5,6620,4020,980049.1,-14.0472906084416,-9.84222374702421,-12.6326742911289,-5.00705518948819,-2.33767641280532,0.498813467317987,3.19724295226587,0,0,0
"E10296-S35606",1029553.32393145,-3560599.71136119,"icr048485","Madadeni",-27.5684,30.0228,10,11588,642,2.5,199,14.9,6210,4030,977313.6,-13.6948079432121,-10.7113957347053,-11.7659318192524,-4.79697411462897,-1.78507048107726,0.432394519986795,2.89313705519928,0,0,0
"E10298-S35584",1029733.42102177,-3558390.00127349,"icr048503","Madadeni",-27.5477,30.0232,10,15285,839,2.8,128,15.4,3500,4340,975889.8,-13.7546829096015,-11.9559633588506,-10.7104277175072,-4.77035411626874,-1.70474809223843,-0.215111379616945,2.90241652785773,0,0,0
"E10298-S35584",1029733.42102177,-3558390.00127349,"icr048504","Madadeni",-27.5477,30.0232,35,8310,501,1,97.1,12.8,4760,4740,981578.1,-14.3199037835609,-11.095733990305,-12.3211265964503,-5.71908901678127,-2.54944517092557,0.00421053253634351,2.80860878676463,0,0,0
"E10315-S35571",1031416.91101211,-3557050.41495602,"icr048567","Madadeni",-27.535,30.0388,35,16262,1029,1.3,126,17.9,1930,739,979894.8,-14.4448635714766,-14.1972151621117,-9.28692142027684,-2.76152258368809,-2.62243644837922,0.959977360950729,2.76024364093373,0,0,0
"E10315-S35571",1031416.91101211,-3557050.41495602,"icr048566","Madadeni",-27.535,30.0388,10,27071,1660,5.1,260,23,1880,606,968494.9,-13.6480937096184,-14.227822699365,-7.78240227611834,-1.42577376974671,-1.50625367619887,1.13214706975468,2.79164544183884,0,0,0
"E10315-S35601",1031430.65867068,-3560084.88847235,"icr048549","Madadeni",-27.5634,30.0408,10,28464,1764,1.5,182,17.8,2060,602,966908.7,-14.0554729684418,-15.4747142970121,-9.19593895872466,-2.07258914997727,-2.47373334918987,1.23020381647481,2.78105617333888,0,0,0
"E10315-S35601",1031430.65867068,-3560084.88847235,"icr048550","Madadeni",-27.5634,30.0408,35,22856,1392,0.8,106,13.3,1840,565,973226.9,-14.5901839418489,-15.8729013031033,-9.65988463259026,-2.69762692827963,-2.81090758654192,1.18069511945659,2.79847210301624,0,0,0
"E10316-S35654",1031525.68469787,-3565395.47709352,"icr048521","Madadeni",-27.6131,30.045,35,10045,747,1,126,16.8,1080,678,987306.2,-14.9066821648819,-13.7175543236377,-9.16937220770919,-2.31818728021545,-2.82137888640921,0.46556903217787,2.59876509211622,0,0,0
"E10316-S35654",1031525.68469787,-3565395.47709352,"icr048520","Madadeni",-27.6131,30.045,10,8072,661,0.9,142,27.2,1960,842,988294.9,-14.6665203035561,-12.4311759067623,-9.60397410422753,-2.89017644666913,-3.40857748895978,0.844919737982236,2.50240272218176,0,0,0
"E10318-S35626",1031754.33801736,-3562588.20667194,"icr048528","Madadeni",-27.5868,30.0455,10,9009,675,6.1,149,8.4,506,166,989480.5,-15.1837160175533,-13.9809327912997,-6.1928729584297,-0.121500823567318,-0.319942934670003,1.11454888093092,2.59126666577891,0,0,0
"E10318-S35626",1031754.33801736,-3562588.20667194,"icr048529","Madadeni",-27.5868,30.0455,35,6308,385,2.5,93.8,8.4,585,243,992374.3,-15.6254528922155,-13.2378442606855,-7.36618652132024,-1.3283792470193,-1.21194097397511,0.878550403891309,2.79633061379514,0,0,0
"E10332-S35630",1033189.66831093,-3562902.2064115,"icr048602","Madadeni",-27.5896,30.0597,10,9821,560,8.8,107,9.5,323,79.8,989090.9,-15.4638818566749,-14.4819685978512,-4.33136055298461,0.588253595848545,-0.0765400771223348,1.39812881876689,2.86434144542858,0,0,0
"E10332-S35630",1033189.66831093,-3562902.2064115,"icr048603","Madadeni",-27.5896,30.0597,35,3067,205,2.9,53.9,7,231,57.1,996376.1,-16.7116805489306,-13.2346113559052,-5.00769161778463,-0.0440515480024661,-0.881199412062886,1.39761359385983,2.70544518497584,0,0,0
"E10332-S35643",1033136.61634836,-3564226.38259586,"icr048584","Madadeni",-27.602,30.06,10,8852,614,2.3,97.2,10.8,275,106,990042.7,-15.765173419457,-15.2077073973036,-5.72160900341448,0.219477162453026,-1.54663701119507,0.953332003554506,2.6684037730238,0,0,0
"E10332-S35643",1033136.61634836,-3564226.38259586,"icr048585","Madadeni",-27.602,30.06,35,5311,438,0.4,81,10.3,314,180,993665.3,-16.3129208686663,-14.8651879988084,-8.26825055382885,-0.895205407845408,-3.24843462710975,0.556436135018043,2.49531651004595,0,0,0
"E10333-S35605",1033220.6833294,-3560466.64078259,"icr048623","Madadeni",-27.5668,30.0585,35,8229,639,3.4,163,17.2,498,259,990191.4,-15.0585968420869,-13.3745264261533,-6.51613840837526,-0.39732282220326,-1.62113395219729,0.653772015325115,2.55551532522818,0,0,0
"E10333-S35605",1033220.6833294,-3560466.64078259,"icr048622","Madadeni",-27.5668,30.0585,10,14395,984,5.5,289,20.2,670,259,983377.3,-14.421002948662,-13.7900389698012,-6.43185508936967,0.190567590209614,-1.30093451216873,0.950449650685474,2.68301030599402,0,0,0
"E10347-S35580",1034661.01034048,-3557949.34425676,"icr048643","Madadeni",-27.5431,30.071,35,34214,1972,1.2,81.9,12.9,2280,530,960908,-14.3130970824055,-16.7345943693279,-9.05167244263598,-2.98022332907951,-2.37490575457367,1.45905371540232,2.85358666084966,0,0,0
"E10347-S35580",1034661.01034048,-3557949.34425676,"icr048642","Madadeni",-27.5431,30.071,10,43596,2709,3,162,18.4,2450,599,950462.6,-13.6170522331773,-16.1579252614329,-8.31956030776747,-2.15533059058575,-1.81373837594683,1.40858170542332,2.77838583992411,0,0,0
"E10358-S35657",1035718.42502692,-3565684.75226064,"icr048664","Madadeni",-27.6154,30.0861,10,14604,1079,4.6,241,17.4,1020,383,982651,-14.3175770141722,-13.747586749562,-7.33864252583624,-0.751575168570462,-1.33041390272543,0.979522917097671,2.60526077751739,0,0,0
"E10358-S35657",1035718.42502692,-3565684.75226064,"icr048665","Madadeni",-27.6154,30.0861,35,10952,691,1.9,165,17.6,1150,511,986511.5,-14.7186273919615,-13.2676818143699,-8.4374629314744,-1.73532477188974,-2.22604501587171,0.811147631153592,2.76313754320061,0,0,0
"E10363-S35623",1036273.1652535,-3562271.82096629,"icr048682","Madadeni",-27.5834,30.0894,10,3702,227,8.7,78,5.3,144,42.7,995792.3,-16.5314321153635,-13.3665613869026,-3.70411327727936,1.17827452988121,0.495616205102461,1.21561437934142,2.79167847565204,0,1,0
"E10363-S35623",1036273.1652535,-3562271.82096629,"icr048683","Madadeni",-27.5834,30.0894,35,1952,133,3.6,58.2,4,196,49.1,997604.1,-17.0804340829693,-12.3825558650001,-5.29573610046789,0.164806402424944,-0.105360515657827,1.38425562443004,2.68626063875128,0,1,0
"E10366-S35606",1036512.60607473,-3560596.90910505,"icr048704","Madadeni",-27.5677,30.0907,10,18103,958,4,217,18.7,910,374,979415.3,-14.3654702291925,-14.0721928679245,-7.19080394014411,-0.745827118043628,-1.54222916274065,0.889188802096364,2.93898517140508,0,0,0
"E10366-S35606",1036512.60607473,-3560596.90910505,"icr048705","Madadeni",-27.5677,30.0907,35,9184,591,0.6,154,20.6,1020,542,988487.8,-15.0865612397411,-13.5147450529459,-9.48466009838817,-1.92522034559046,-3.53611669956152,0.632291904838671,2.74340210115325,0,0,0
"E10369-S35582",1036891.5525746,-3558175.44245709,"icr048721","Madadeni",-27.545,30.0929,10,36604,2273,2,328,20.7,2510,898,957364.3,-13.5055759126896,-15.149719968477,-9.67878951757004,-1.81604318163302,-2.33698651971138,1.02786796382363,2.77905697918273,0,0,0
"E10369-S35582",1036891.5525746,-3558175.44245709,"icr048722","Madadeni",-27.545,30.0929,35,28163,1590,0.3,120,16.9,2370,867,966872.8,-14.4772462923372,-16.3003340989078,-11.1566360573221,-3.20499338936107,-4.03128642625496,1.00560625734864,2.87427504347426,0,0,0
"E10646-S15592",1064516.91262001,-1559111.64445367,"icr055603","Chilende",-9.15515,29.6233,10,6336,430,4.7,126,5.1,97.6,62.3,992938.3,-16.2788136565684,-15.0989152011758,-4.7033007998496,1.79245996560707,-0.0816780310142668,0.448916067625641,2.69021772480665,0,0,1
"E10646-S15592",1064516.91262001,-1559111.64445367,"icr055604","Chilende",-9.15515,29.6233,35,2978,278,1.6,152,4.3,68.4,69.3,996448.4,-16.9101808054673,-14.2808981232976,-6.20221736639908,1.91692502334822,-0.988611393453782,-0.0130720815673531,2.37138609955332,0,0,1
"E10651-S15655",1065084.45882913,-1565448.49287352,"icr055563","Chilende",-9.2127,29.6294,10,9436,520,11.7,73.7,8.4,129,37.5,989783.7,-15.9646497643619,-15.5028900615469,-2.37341875767031,1.6387662930673,0.331357135954441,1.23547147138531,2.89845862895209,0,0,1
"E10651-S15655",1065084.45882913,-1565448.49287352,"icr055564","Chilende",-9.2127,29.6294,35,4802,291,5,51.1,7,85.4,28.6,994729.9,-16.8078973081874,-15.0790592703615,-2.77291138643117,1.53930954649873,-0.336472236621214,1.09393938296872,2.80346450960971,0,0,1
"E10655-S15579",1065432.31357373,-1557811.25204362,"icr055623","Chilende",-9.14338,29.6314,10,6014,361,6.8,77.4,6.9,109,67.8,993357.1,-16.2414635666186,-14.5497235775022,-3.72033912159345,1.12919041581263,-0.0145987994211527,0.474785687282795,2.81296740521559,0,0,1
"E10655-S15579",1065432.31357373,-1557811.25204362,"icr055624","Chilende",-9.14338,29.6314,35,2349,43,2.5,55.4,4.5,66.3,62.3,997417,-17.6016063420269,-11.7982091907156,-4.90824174283735,0.700549316018702,-0.587786664902119,0.0622284713984094,4.00054486896535,0,0,1
"E10661-S15618",1066007.05046971,-1561739.15620433,"icr055583","Chilende",-9.17906,29.6372,10,6841,466,6.5,50.7,5.8,155,23.3,992451.7,-16.4832990155437,-15.9262627031448,-2.92186017603401,1.3003315507063,0.113944259349218,1.89497175634759,2.68650356463535,0,0,1
"E10661-S15618",1066007.05046971,-1561739.15620433,"icr055584","Chilende",-9.17906,29.6372,35,3213,301,2.6,33.4,5.2,109,18.3,996317.5,-17.2974258223863,-15.5604207602187,-3.33952642176837,1.07341530758212,-0.693147180559945,1.78444682238177,2.36785009436698,0,0,1
"E10671-S15571",1067077.50020478,-1557088.26971064,"icr055703","Chilende",-9.13688,29.6462,10,8299,534,18.8,77,6,291,45.8,990728.4,-15.6930136753199,-14.6163236388184,-3.15610756959167,0.805886935051745,1.14209740060785,1.84903917605135,2.74349446563825,0,0,0
"E10671-S15571",1067077.50020478,-1557088.26971064,"icr055704","Chilende",-9.13688,29.6462,35,3826,234,4.6,49.2,6,258,34.6,995587.6,-16.6655499584034,-13.8293138483368,-4.19657770236527,0.277393771908148,-0.265703165733006,2.00910590285794,2.7942540346425,0,0,0
"E10675-S15595",1067447.3531653,-1559402.21690395,"icr055683","Chilende",-9.1579,29.6499,10,5817,475,5.5,63,6.3,129,23.4,993480.8,-16.5324886198743,-15.7590509848935,-3.06765972224733,1.67331200489982,-0.135801541159061,1.70707638199802,2.50522513987612,0,0,0
"E10675-S15595",1067447.3531653,-1559402.21690395,"icr055684","Chilende",-9.1579,29.6499,35,3167,245,2.4,63.5,5.7,160,33.2,996323.2,-16.9440730267779,-14.236471153429,-4.77303821632885,0.913106683274039,-0.864997437486604,1.57262393931138,2.55928183599391,0,0,0
"E10677-S15651",1067639.15459668,-1565096.35656904,"icr055643","Chilende",-9.2096,29.6525,10,7438,467,6.1,119,6.7,58.2,28.2,991876.8,-16.4245164098797,-15.9532473489831,-2.87683854815067,2.9710121404962,-0.0938187552176544,0.724563376793325,2.76802801681612,0,0,1
"E10680-S15627",1067989.18588584,-1562641.79838174,"icr055663","Chilende",-9.18733,29.6553,10,7696,585,8.5,165,7.1,69.5,28.8,991440.1,-16.1301300701202,-15.7378056080467,-2.86563788952765,3.24609211072997,0.179971379449,0.880951365428846,2.57684414511369,0,0,1
"E10680-S15627",1067989.18588584,-1562641.79838174,"icr055664","Chilende",-9.18733,29.6553,35,3160,444,3.2,158,6,74.5,25.3,996129,-16.7420409053933,-14.9168778165004,-4.20867668155657,2.96160310546362,-0.628608659422374,1.07999472965204,1.96250274414873,0,0,1
"E10698-S15594",1069732.23103385,-1559359.51476962,"icr055762","Chilende",-9.1576,29.6706,10,6093,418,10.8,76,7.7,59.3,23,993312.2,-16.4854053632383,-15.4790667959649,-1.56197278642915,2.6787274311537,0.338325805270536,0.947115090074529,2.67941441772374,0,0,1
"E10698-S15594",1069732.23103385,-1559359.51476962,"icr055763","Chilende",-9.1576,29.6706,35,3363,258,4.4,62.3,8.6,67.9,25.5,996210.3,-16.946601164658,-14.4667448695402,-2.61689609181061,2.01366001559252,-0.670157662335248,0.979357582400269,2.56762912681865,0,0,1
"E10702-S15571",1070190.21701545,-1557037.61343691,"icr055782","Chilende",-9.13654,29.6744,10,6411,394,10,109,5.5,100,67.9,992902.6,-16.0986765549931,-14.497382887612,-3.74817134343569,1.62719123579013,0.59783700075562,0.387134151423442,2.78941963468932,0,0,1
"E10702-S15571",1070190.21701545,-1557037.61343691,"icr055783","Chilende",-9.13654,29.6744,35,2933,94,2.9,80.6,5.5,113,49.1,996721.9,-17.0945773322651,-12.5416867402639,-4.97634826670365,1.03319020309066,-0.640037355245997,0.833528783911866,3.44048628670745,0,0,1
"E10702-S15625",1070199.46537279,-1562434.22298561,"icr055742","Chilende",-9.18553,29.6753,10,7909,558,6.4,166,8.5,66.4,33.6,991252.1,-16.1320946336731,-15.7035710881196,-3.08516990431658,3.14244151853461,-0.283768173130644,0.68117098951323,2.65139766813811,0,0,1
"E10702-S15625",1070199.46537279,-1562434.22298561,"icr055743","Chilende",-9.18553,29.6753,35,4388,421,3.3,139,8.1,87.4,37.1,994916.1,-16.484815366552,-14.8289069626254,-4.16479364755333,2.41836768855723,-0.897941593205958,0.856878313048099,2.34399598771274,0,0,1
"E10703-S15645",1070254.25648904,-1564431.09311394,"icr055723","Chilende",-9.20366,29.6761,10,7283,534,4.2,118,5.9,71.7,49.2,991934,-16.3322707769051,-15.9484175014367,-4.08775565602548,2.24357671670485,-0.339867825622351,0.376597124107313,2.61290230525772,0,0,1
"E10703-S15645",1070254.25648904,-1564431.09311394,"icr055724","Chilende",-9.20366,29.6761,35,5434,359,3.7,121,5.9,66.2,23.6,993986.6,-16.7373992407575,-15.5730884401928,-3.62565316572564,2.88264275490599,-0.466619531261495,1.0314337509114,2.71710840149801,0,0,1
"E10718-S15575",1071794.31442514,-1557457.12117585,"icr055862","Chilende",-9.14041,29.689,10,5624,431,10,87.5,8.9,159,72.2,993607.4,-15.9135390324454,-13.9492708771074,-3.47901875017449,0.975622466820512,0.11653381625595,0.789464156321451,2.56869034338675,0,0,1
"E10718-S15575",1071794.31442514,-1557457.12117585,"icr055863","Chilende",-9.14041,29.689,35,2206,114,2.4,117,6.9,115,74.2,997364.5,-16.9085265104854,-11.8900992569488,-5.64827174069979,1.06908597993861,-1.05605267424931,0.438167978189915,2.96273775141895,0,0,1
"E10723-S15649",1072245.07486095,-1564802.76155243,"icr055802","Chilende",-9.20711,29.6942,10,5998,249,10,118,8.1,98.6,27.3,993491,-16.3457839939101,-14.0618073681216,-2.63810514849754,2.50881494576135,0.210721031315652,1.28418455941767,3.18172846284425,0,0,1
"E10723-S15649",1072245.07486095,-1564802.76155243,"icr055803","Chilende",-9.20711,29.6942,35,2669,200,4.3,86.4,5,67.6,17.3,996950.4,-17.2270156194405,-14.1932668866716,-3.2563007364906,2.5936216799958,-0.150822889734583,1.36290148154518,2.59114178285649,0,0,1
"E10725-S15598",1072418.57976635,-1559721.57920929,"icr055842","Chilende",-9.16099,29.695,10,4760,140,7.2,64.1,5.4,72.3,33.7,994917.3,-16.9110031499708,-13.8551390261623,-2.94337302873427,1.71703571952674,0.287682072451782,0.763326291806402,3.52636052461616,0,0,1
"E10731-S15627",1073042.81399668,-1562635.93823577,"icr055822","Chilende",-9.18747,29.7011,10,13856,858,10.3,231,10.1,222,71,984741.6,-15.1393524590456,-15.2299984053425,-4.23263732916241,2.00751877279837,0.0196084713883753,1.13999750483096,2.78186953131425,0,0,1
"E10731-S15627",1073042.81399668,-1562635.93823577,"icr055823","Chilende",-9.18747,29.7011,35,5229,388,3.7,254,11.4,109,47.4,993957.5,-16.0784792176217,-14.0043604789356,-4.57514808352357,2.75757427546288,-1.12528053575027,0.832725653528113,2.60096999456486,0,0,1
"E12740-S3808",1273967.60800525,-380780.758688384,"icr054456","Hoima",1.473473,31.462007,10,19991,1771,6.4,183,9.1,953,264,976822.5,-14.3631154997027,-15.5042219836883,-6.96997526969347,-0.615575367899056,-0.351976423157177,1.28366580050789,2.42373781347291,0,1,0
"E12740-S3808",1273967.60800525,-380780.758688384,"icr054457","Hoima",1.473473,31.462007,35,8231,893,1.5,74.7,8.9,382,103,990305.9,-15.8362471755763,-15.9880400295101,-6.41446772763465,-0.379023928203363,-1.78058616862993,1.31069162037694,2.22107621209615,0,1,0
"E12746-S3771",1274589.5286999,-377036.005397093,"icr054469","Hoima",1.507103,31.4679,10,35343,2813,6.9,87,16.7,2190,422,959121.4,-13.7630119313579,-16.1421629649956,-6.56337315410234,-2.3784870478191,-0.883887307819496,1.64665150877453,2.53084882342437,0,1,0
