SSN,Al,B,Cu,Fe,Mn,Zn
icr010965,2081,0.04,1.22,75,29,0.88
icr010966,3041,0.001,0.64,47,7,0.64
icr010985,1863,0.1,1.41,77,46,1.17
icr010986,2722,0.001,0.74,60,12,0.96
icr011037,670,0.493,4.3,101,245,4.11
icr011038,819,0.445,4.56,126,272,3.17
icr011067,1190,0.141,2.19,80.1,88.2,1.6
icr011068,1260,0.098,2.05,77.1,99.3,1.5
icr011077,811,0.191,4.49,157,217,3.77
icr011078,898,0.084,4.53,142,195,1.84
icr011097,342,0.074,0.319,61.1,72.9,1.42
icr011098,425,0.028,0.546,59.5,48.1,1.88
icr011111,816,0.281,2.9,136,210,3.9
icr011112,863,0.129,1.88,158,316,2.08
icr011133,802,0.266,3.5,129,317,2.48
icr011134,989,0.091,2.45,113,291,2.27
icr011144,917,0.505,4.74,88.8,261,1.97
icr011145,939,0.436,4.68,92.3,246,1.53
icr011164,1310,0.016,1.04,188,20.7,1.87
icr011165,1390,0.02,0.911,186,3.26,1.33
icr011182,840,0.102,1.05,96,41.8,2.03
icr011183,682,0.052,1.01,131,77.9,2.63
icr011202,705,0.097,0.883,81.3,76.2,1.06
icr011203,798,0.017,0.612,81.6,61.8,1.5
icr011222,435,0.21,1.64,187,81.6,5.63
icr011223,643,0.052,1.44,128,97.2,2.78
icr011241,881,0.398,2.12,114,310,3.26
icr011242,835,0.068,1.42,93.6,210,2.02
icr011263,1120,0.013,3.07,456,42,2.1
icr011264,768,0.02,2.31,176,92.4,1.65
icr011281,632,0.082,1.04,79.3,68,2.37
icr011282,657,0.027,0.913,59.7,56.4,1.86
icr011301,339,0.122,0.51,54.6,66.6,2.23
icr011302,487,0.078,0.674,52.1,52.3,1.13
icr011321,986,0.092,2.47,97.3,169,1.62
icr011322,1260,0.028,1.62,81.9,65.8,1.27
icr011824,498.2,0.197,1.044,109.4,157.3,1.552
icr011825,593.1,0.1089,0.7977,89.42,110.5,1.047
icr011843,436.1,0.0254,0.7383,195.2,40.9,1.101
icr011844,344.3,0.0117,0.4785,203.8,19.65,0.761
icr011863,331.3,0.0501,0.6582,188.7,56.71,0.867
icr011864,381,0.0423,0.8944,210.6,57.5,0.484
icr011881,282.2,0.0394,0.2042,79.8,19.34,0.587
icr011882,382.1,0.0151,0.2186,96.86,13.38,0.444
icr011901,279.6,1.609,1.742,106.9,118.2,10.61
icr011902,395.3,0.8842,1.262,118.1,102.9,4.456
icr011921,595.7,0.2139,2.275,309,151.8,0.858
icr011922,601.5,0.1736,2.54,119.9,131.3,0.652
icr011941,401.5,0.0944,0.7541,142,43.89,1.152
icr011942,394.3,0.0644,0.7965,125.4,27.71,0.907
icr011960,332.1,0.7813,1.254,155.1,83.97,6.209
icr011961,338.8,0.3977,1.036,168,40.07,2.904
icr011978,1270,0.3209,10.47,103.9,381.4,0.849
icr011979,1227,0.2188,10.28,90.13,298.7,0.402
icr011990,724.7,0.3028,3.183,236.5,127.5,1.43
icr011991,400.9,0.5746,3.335,67.21,163.4,1.008
icr012008,345.1,0.5067,1.407,127.4,102.8,1.744
icr012009,397.8,0.6879,2.353,62.97,139.9,1.084
icr012027,449.1,0.7676,2.884,80.13,215.8,2.491
icr012028,241.8,0.8537,2.694,30.75,292.2,1.449
icr012043,1215,0.3943,3.395,86.22,93.2,1.803
icr012044,1410,0.2623,3.189,65.63,43.47,0.786
icr012063,1111,0.6395,4.471,125.6,276.4,1.221
icr012064,1029,0.6785,4.236,115.4,251.4,0.775
icr012083,372.7,0.3324,1.174,101.8,130.9,36.51
icr012084,390.4,0.3344,0.6522,118.2,83.36,17.05
icr012087,830.5,0.2895,3.335,85.62,290,1.514
icr012088,1138,0.3095,3.917,97.65,252,1.519
icr014408,1193,0.2201,1.511,478.4,351.5,2.827
icr014409,1330,0.1513,1.134,477,339.6,1.736
icr014428,1675,0.0429,0.6522,142.4,8.661,1.345
icr014429,1668,0.01,0.6889,119.5,4.41,0.795
icr014448,1945,0.0662,2.422,431.5,70.16,4.543
icr014449,1649,0.0483,4.662,369.9,46.27,3.335
icr014468,1539,0.0897,0.6013,131.7,93.39,1.399
icr014469,1714,0.0785,0.5762,118.2,77.76,0.857
icr014488,1700,0.0883,2.601,415,103.6,1.191
icr014489,1657,0.0426,2.803,225.6,125.8,1.233
icr014508,1914,0.0526,2.349,326.6,103.5,2.049
icr014509,1621,0.0116,2.136,123.2,59.74,1.135
icr014528,1569,0.0371,2.224,357.9,112.7,1.506
icr014529,1788,0.0427,2.259,249.9,131.2,0.919
icr014548,1322,0.1323,2.315,477.2,180.5,3.585
icr014549,1304,0.1077,2.21,378.5,244.7,2.075
icr014568,1706,0.027,0.9497,95.75,43.31,1.379
icr014569,1821,0.0145,0.9387,69.36,28.53,2.129
icr014588,1703,0.0354,0.7953,154.4,80.25,1.141
icr014589,1442,0.0609,0.8208,126.2,73.8,1.587
icr014608,1903,0.0955,0.7232,105.9,38.84,0.869
icr014609,1991,0.0728,0.6294,64.94,29.37,0.578
icr014628,1553,0.1387,0.756,77.65,95.7,1.206
icr014629,1588,0.0654,0.7651,62.32,57.65,0.745
icr014648,2067,0.0949,0.5124,75.37,42.03,0.861
icr014649,1986,0.0438,0.2938,52.74,25.8,0.519
icr014668,1375,0.1088,0.7763,157.7,105,1.474
icr014669,1529,0.0478,0.6522,74.96,54.47,1.412
icr014688,1257,0.0811,0.9451,74.89,85.02,1.959
icr014689,1348,0.0573,0.7665,76.03,78.84,1.356
icr014708,1464,0.1657,1.173,83.16,142.3,1.511
icr014709,1533,0.1327,1.217,91.11,118.3,1.295
icr014743,462.3,0.1336,1.201,160.7,165.1,1.356
icr014744,545,0.1584,1.704,158.8,198.8,1.489
icr014763,670.7,0.0804,0.6765,296.2,57.95,1.262
icr014764,1106,0.0373,1.163,244,26.27,1.135
icr014783,426.2,0.067,0.8811,133.4,100.3,1.164
icr014784,658.6,0.1139,1.385,117.7,100.3,0.749
icr014803,888.2,0.1942,1.857,282.9,115,1.438
icr014804,1188,0.3205,2.503,217.8,57.48,1.216
icr014823,889.9,0.2415,3.839,224,128.2,1.098
icr014824,1017,0.2584,4.105,184.8,118.6,0.871
icr014843,510.1,0.0534,0.6759,168.8,112.2,1.016
icr014844,534.9,0.0853,0.6907,162.2,116.5,1.104
icr014863,728.5,0.2327,2.231,289.2,88.95,1.872
icr014864,840.9,0.2041,2.067,278.9,73.75,1.358
icr014883,1350,0.5932,5.735,132.5,309.4,2.473
icr014884,1398,0.6253,5.559,141.2,289.5,1.071
icr014903,740.5,0.2787,2.655,225.5,237.3,1.915
icr014904,814.3,0.2165,2.643,196.3,202.3,1.47
icr014923,967,0.2218,2.605,287.2,70.24,1.517
icr014924,1176,0.1723,2.837,242.5,81.74,1.059
icr014943,910.7,0.101,2.209,197.3,66.33,1.013
icr014944,1307,0.1281,3.157,198.6,50.08,1.147
icr014963,591.7,0.0691,1.684,169.1,56.89,1.312
icr014964,629.1,0.0501,1.997,172.4,45,1.532
icr014983,1372,0.2589,6.723,149.4,75.9,1.149
icr014984,1327,0.2134,6.384,150.9,67.16,1.068
icr015003,522.1,0.236,4.399,195.7,327.7,2.028
icr015004,638.3,0.1978,6.517,231.8,353.7,1.766
icr015023,1090,0.6593,3.982,319.7,79.84,2.49
icr015024,1119,0.2923,6.279,291.6,69.4,1.666
icr015043,605,0.1537,1.811,142.3,73.48,2.252
icr015044,949.8,0.2104,2.863,161.9,73.48,1.07
icr015063,503.7,0.1979,0.69,107.7,149.4,1.139
icr015064,558.1,0.0698,0.6677,97.44,103.7,1.004
icr015083,840.4,0.4993,2.428,145.4,329.9,1.148
icr015084,952.2,0.3747,1.245,122.9,270.9,0.728
icr015103,887,0.2679,5.528,152.6,152.4,3.006
icr015104,1025,0.2925,4.963,133.7,195.9,1.597
icr015122,1362,0.1233,1.485,70.29,84.8,1.392
icr015123,1387,0.0825,0.9694,71.45,46.43,0.807
icr015137,629.9,0.246,0.6847,102.2,179.5,1.791
icr015138,799.1,0.147,0.6694,73.34,89.53,1.084
icr015157,676.4,0.3187,4.813,118,162.9,2.475
icr015158,771.4,0.2067,4.289,111,175,1.29
icr015177,581.2,0.1427,1.371,161.4,130.1,0.925
icr015178,670.5,0.0557,1.326,65.91,54.16,0.591
icr015199,933.6,0.7866,5.425,107.8,329,3.911
icr015200,703.3,0.836,3.78,132.8,136.4,1.787
icr015216,322.2,0.0894,0.3637,59.83,37.44,0.762
icr015217,445,0.0198,0.5421,64.94,37.81,0.818
icr015236,370.2,0.1799,0.4274,54.49,69.9,0.604
icr015237,441.1,0.1617,0.6295,61.28,80.34,0.606
icr015256,673.8,0.2851,2.81,101.9,170.9,0.818
icr015257,625.7,0.223,2.097,96.49,117.3,1.082
icr015275,501.5,0.1339,0.5249,73.2,55.51,0.737
icr015276,772.6,0.0246,0.8124,66.63,34.32,0.456
icr015295,893.2,0.1383,1.271,145,112.8,0.921
icr015296,541.9,0.0823,0.4618,59.89,40.54,0.439
icr015315,555.5,0.1791,0.685,68.48,106.3,0.57
icr015316,320.4,0.1848,0.6655,75.67,79.98,1.961
icr015335,533.4,1.666,3.383,135.8,114.2,15.59
icr015336,533.2,1.673,3.804,163.2,138.4,16.37
icr015352,488.6,0.1572,0.5398,73.29,105.8,1.209
icr015353,634.8,0.1066,0.6172,60.95,96.87,0.44
icr015432,512.1,0.9789,2.015,137.8,155.5,4.194
icr015433,588.2,0.3109,0.9295,178.6,42.02,2.489
icr015452,550.2,0.9682,2.251,92.8,195.7,3.106
icr015453,1105,0.3569,2.486,82.75,93.3,1.232
icr015472,972.9,0.4825,1.172,143.8,105.7,1.978
icr015473,1019,0.1167,0.961,84.13,19.78,1.159
icr015492,712.7,0.8262,1.935,140.5,149.5,2.224
icr015493,836,0.2711,1.779,117.3,70.53,1.528
icr015512,852.4,0.4531,2.235,137.5,215.1,1.599
icr015513,1110,0.1838,2.001,85.38,93.29,1.321
icr015532,846,0.9286,3.807,129.6,247.1,3.377
icr015533,1292,0.2718,2.581,87.84,93.31,1.366
icr015552,670.5,0.5578,1.166,117.1,119.3,2.196
icr015553,865.4,0.2248,1.062,96.71,69.66,1.246
icr015572,683.4,0.6009,2.03,144.9,125,2.951
icr015573,722.8,0.26,1.889,126.7,67.61,1.698
icr015592,390.3,0.105,0.6848,439.9,53.11,1.33
icr015593,628.3,0.0341,0.5886,236.4,26.56,1.452
icr015612,1131,0.2788,1.734,80.09,50.04,1.137
icr015613,764.9,0.8615,2.516,137.3,157.5,3.77
icr015632,389.9,0.2209,1.365,518.3,41.12,1.724
icr015633,546.3,0.0552,1.501,165.6,16.88,1.683
icr015652,775.9,0.2735,2.253,145.1,120.9,1.566
icr015653,1074,0.0645,1.936,94.3,40.49,1.082
icr015672,318.4,0.027,0.3256,150.1,3.227,1.488
icr015673,269.5,0.012,0.2078,80.85,1.405,0.742
icr015692,470.8,0.0895,0.9782,226.2,55.62,1.63
icr015693,417.5,0.0481,0.595,148.3,22.31,1.114
icr015712,857,0.5309,1.788,147.7,228,1.573
icr015713,1098,0.2092,1.757,103.1,108.8,1.041
icr015732,695.1,0.6829,2.322,104.7,325.7,3.968
icr015733,931.2,0.2654,2.308,85.51,153.4,1.477
icr015752,753,0.3878,2.67,125.5,164.3,0.992
icr015753,774.2,0.575,2.342,122.6,215.5,1.469
icr015772,893.9,0.6061,2.051,94.94,112.4,2.031
icr015773,890.3,0.2588,1.939,77.75,33.45,0.784
icr015792,770.2,0.5829,1.687,122.2,400.4,2.705
icr015793,985.9,0.3948,1.796,104.5,221.8,1.126
icr015812,768.2,0.7921,2.84,108.7,497.2,3.262
icr015813,865.5,0.8452,3.203,126.8,465.9,2.472
icr015832,594.1,0.7109,0.921,124.7,211.1,1.651
icr015833,493,0.7595,0.9638,101.3,230,2.367
icr015852,763.2,0.5065,2.871,85.83,149,2.296
icr015853,842.2,0.4104,3.655,65.7,78.19,1.097
icr015872,785.9,0.7465,2.687,98.97,226.5,1.851
icr015873,857.5,0.4559,2.366,96.6,152.5,1.583
icr015892,457,0.5712,1.267,70.32,225.7,2.577
icr015893,647.8,0.4771,1.36,84.72,186.7,1.636
icr015912,781.8,1.581,2.996,96.66,267.9,2.726
icr015913,928.8,0.9852,2.544,134.4,215.3,1.062
icr015932,899.9,0.6927,3.804,110.2,174.8,2.163
icr015933,962.3,0.5528,4.257,89.8,140.2,3.868
icr015952,792.7,0.3821,1.569,98.7,87.41,1.512
icr015953,887.2,0.3059,1.875,109.4,49.72,1.3
icr015972,517.9,1.029,2.211,119.2,278.8,3.981
icr015973,649.5,0.4506,2.136,120.6,192.9,1.889
icr015992,488.6,0.1708,0.0457,738.6,20.78,1.184
icr015993,532.1,0.0959,0.2879,392.8,4.14,0.645
icr016012,779.8,1.148,3.422,144.2,215.5,3.844
icr016013,935.4,0.5962,3.416,163.9,178.7,1.823
icr016032,743.8,1.369,3.673,145.5,196.1,3.709
icr016033,964.3,0.6497,3.744,190.3,178.4,1.962
icr016052,860.4,1.092,3.922,107.5,258.7,4.015
icr016053,816.8,1.206,4.661,105.5,239.8,3.95
icr020848,242.3,0.174,0.4083,289.6,24.95,1.145
icr020849,178.9,0.0878,0.3122,127.9,5.911,1.589
icr020868,154.5,0.1243,0.3173,104.2,19.46,1.561
icr020869,137.8,0.0842,0.1986,68.83,4.855,1.179
icr020888,414.2,0.1509,1.035,262.5,8.578,1.108
icr020889,680.7,0.1132,1.682,133.3,7.481,0.7391
icr020908,629.2,0.3062,1.061,128.2,193.6,1.866
icr020909,813.6,0.1148,0.8351,109.8,150.9,1.35
icr020927,376.5,0.1798,1.386,151.3,190.6,1.336
icr020928,378.7,0.0351,1.622,121.9,154.6,0.7352
icr020947,342.5,0.1122,0.4998,260.7,42.03,0.8304
icr020948,348.1,0.0626,0.4974,119.5,12.64,1.095
icr020970,307.6,0.2121,0.5509,108.5,108,1.843
icr020971,370,0.0803,0.3718,94.04,73.05,0.9822
icr020986,374.5,0.1271,0.6436,110.7,112.4,2.13
icr020987,402.9,0.1597,0.3918,83.32,80.04,1.479
icr021004,902.8,0.2584,0.8826,143.4,174.8,1.946
icr021005,778.8,0.1268,0.9666,127.9,165.4,0.7313
icr021023,999.8,0.2403,1.443,83.37,281.1,1.991
icr021024,1180,0.1327,0.987,67.08,159.7,0.6252
icr021043,208.6,0.0521,0.3266,232,35.42,1.422
icr021044,256.2,0.032,0.3131,162.9,13.86,1.003
icr021063,513.2,0.2435,1.179,138.9,218.8,2.416
icr021064,462.1,0.1041,0.8547,94.66,211.4,0.9004
icr021083,238.5,0.0226,0.2645,213.9,7.424,0.9986
icr021084,459.4,0.0491,0.3976,218.2,2.041,1.738
icr021103,353,0.0994,0.3931,183.4,15.19,1.033
icr021104,441.4,0.0447,0.6028,141.2,5.847,1.149
icr021123,265.8,0.0945,0.4875,181.3,124.8,2.186
icr021124,332.5,0.0528,0.5598,205.9,110.8,1.451
icr021141,326.8,0.3098,0.6789,150.4,284.5,2.565
icr021142,371.5,0.1886,0.7195,154,276.9,1.023
icr023116,620,0.24,0.72,130,91,1.67
icr023117,557,0.18,0.54,84,48,1.09
icr023136,559,0.17,0.58,271,125,2.52
icr023137,527,0.13,0.56,222,152,1.02
icr023155,869,0.32,0.45,95,211,2.05
icr023156,989,0.3,0.36,63,122,1.26
icr023175,1191,0.33,2.4,126,293,2.78
icr023176,1209,0.24,1.82,81,218,1.01
icr023195,971,0.22,0.96,213,182,2.02
icr023213,1124,0.3,1.57,101,290,1.71
icr023214,1166,0.22,0.96,68,179,0.95
icr023233,978,0.27,0.83,97,136,1.2
icr023234,1104,0.31,0.65,53,85,1.24
icr023253,1150,0.13,2.02,425,105,3.91
icr023254,765,0.04,3.73,298,21,1.41
icr023273,1118,0.24,2,153,183,2.76
icr023274,1239,0.23,1.74,99,169,3.58
icr023293,921,0.2,0.97,123,159,3.98
icr023294,1068,0.22,0.67,62,103,1.15
icr023313,1250,0.23,2.23,82,226,4.14
icr023314,1244,0.2,1.45,66,202,1.3
icr023333,1134,0.21,2.58,134,170,2.13
icr023334,1237,0.2,1.89,92,138,1.63
icr023353,800,0.17,1.03,126,193,3.69
icr023354,1103,0.16,0.88,94,164,2.49
icr023373,941,0.27,1.07,283,111,3.5
icr023374,992,0.17,1.33,158,64,2.45
icr023393,1189,0.24,1.15,96,139,3.89
icr023394,1310,0.29,0.8,66,109,1.85
icr023413,1344,0.17,4.64,159,200,4.93
icr023414,1365,0.13,3.4,128,171,2.72
icr023433,405,0.09,0.68,43,65,1.56
icr023434,420,0.12,0.78,45,64,1.99
icr023453,610,0.19,0.99,76,45,2.28
icr023454,653,0.14,1.08,90,39,1.71
icr023473,435,0.15,0.45,40,183,2.28
icr023474,393,0.14,0.35,35,109,1.79
icr023493,475,0.3,0.7,39,131,3.88
icr023494,587,0.28,0.46,46,75,1.63
icr023513,264,0.22,0.59,72,20,1.58
icr023514,260,0.44,0.66,65,25,2.12
icr023533,224,0.13,0.32,33,65,2.5
icr023534,272,0.1,0.29,36,57,1.43
icr023553,405,0.26,0.46,37,132,2.04
icr023554,644,0.22,0.59,65,174,1.93
icr023573,541,0.36,1.12,84,261,1.39
icr023574,593,0.29,1.17,91,249,1.61
icr023593,534,0.27,2.28,73,199,1.46
icr023594,645,0.25,2.69,75,184,2.65
icr023613,399,0.15,0.78,62,70,1.73
icr023614,469,0.23,0.76,68,68,1.03
icr023633,523,0.38,1.49,70,132,1.73
icr023634,717,0.45,2.37,75,166,1.96
icr023652,729,0.45,0.73,166,58,3.06
icr023653,685,0.31,0.62,174,27,1.22
icr023672,558,0.5,0.98,65,162,2.58
icr023673,676,0.44,0.9,70,159,0.82
icr023692,642,0.45,0.8,57,178,1.19
icr023693,770,0.48,0.75,61,161,0.9
icr023712,1719,0.36,0.49,129,7,3.75
icr023713,1753,0.23,0.27,109,4,0.98
icr023731,388,0.19,0.52,119,17,0.82
icr023732,381,0.17,0.42,128,9,0.73
icr024868,596,0.16,0.59,67,63,2.59
