SSN,Alx,Px,Kx,Sx
icr009958,44512,303,1436,28
icr009959,45987,224,1315,28
icr009978,44803,123,2939,28
icr009979,54828,77,2692,28
icr009998,45667,437,494,28
icr009999,47847,302,490,28
icr010018,46411,388,510,28
icr010019,45285,251,429,28
icr010038,60323,287,5964,28
icr010039,67653,261,4431,28
icr010058,46813,371,576,28
icr010059,44565,273,451,28
icr010078,46840,490,657,28
icr010079,48507,341,604,28
icr010098,52406,236,634,28
icr010099,53102,201,504,28
icr010118,55276,255,478,28
icr010119,54454,179,445,28
icr010138,40813,364,1027,28
icr010139,43696,289,815,28
icr010158,38514,568,3210,28
icr010159,50395,548,3409,28
icr010178,40160,470,2573,28
icr010179,39305,452,1864,28
icr010198,46000,302,1392,28
icr010199,46980,394,1397,28
icr010218,40707,204,6551,28
icr010219,46994,81,5923,28
icr010335,26556,41,6932,28
icr010336,42129,41,7637,28
icr010355,40777,41,11180,28
icr010356,43833,41,11222,28
icr010375,24128,41,9673,28
icr010376,31678,41,9522,28
icr010395,38161,41,11401,28
icr010396,34994,41,11682,28
icr010415,49469,41,15275,28
icr010416,48710,41,13822,28
icr010435,36161,41,10398,28
icr010436,44701,41,11486,28
icr010455,41518,41,17606,28
icr010456,49470,41,16253,28
icr010475,28401,41,9892,28
icr010476,39750,41,9948,28
icr010495,29355,41,10081,28
icr010496,30791,40,10293,28
icr010515,33763,41,9731,28
icr010516,44718,41,10485,28
icr010535,46403,41,19214,28
icr010536,59579,41,17353,100
icr010555,33753,41,13758,28
icr010556,43094,41,13107,28
icr010575,33645,41,9044,28
icr010576,34026,41,9469,28
icr010595,27286,41,11715,100
icr010596,28906,41,11751,28
icr010615,30905,41,12274,28
icr010616,32839,41,11312,227
icr010635,30321,41,10775,28
icr010636,30077,41,9923,28
icr010687,31043,41,5975,28
icr010688,39510,41,7017,28
icr010707,29776,41,5671,28
icr010708,37406,41,5295,28
icr010727,37218,41,2618,28
icr010728,56447,41,2141,28
icr010747,28454,41,4989,28
icr010748,41745,41,5498,28
icr010767,30809,41,3391,28
icr010768,42292,41,3508,28
icr010787,48988,41,5328,28
icr010788,65280,41,5048,28
icr010808,33192,41,2866,28
icr010809,48722,41,2667,28
icr010826,39459,41,5111,28
icr010827,55889,41,4951,28
icr010845,21945,41,2463,28
icr010846,36893,41,2156,28
icr010865,49532,41,5816,28
icr010866,66531,41,4727,28
icr010885,47909,41,4087,28
icr010886,52833,41,3553,28
icr010905,61180,41,4464,28
icr010906,74626,41,4054,28
icr010925,51961,41,5682,28
icr010926,43104,41,4158,28
icr010945,21483,41,2967,28
icr010946,31688,41,3551,28
icr010965,71906,41,5437,28
icr010966,76843,45,4359,28
icr010985,60765,41,5206,28
icr010986,72894,41,4465,28
icr011037,38556,55,3165,28
icr011038,41425,59,2478,28
icr011067,39714,41,2182,28
icr011068,43987,41,2276,28
icr011077,30087,41,4241,28
icr011078,34654,50,3712,28
icr011097,8276,41,3312,28
icr011098,10335,41,4254,28
icr011111,30313,41,3062,28
icr011112,39102,41,2565,28
icr011133,37772,41,2006,28
icr011134,43547,41,1513,28
icr011144,39071,41,2817,28
icr011145,35649,49,2354,28
icr011164,38625,41,2159,28
icr011165,48324,41,2060,28
icr011182,28425,41,2928,28
icr011183,22418,41,2411,28
icr011202,35847,41,4906,28
icr011203,37057,41,4816,28
icr011222,18680,41,2895,28
icr011223,33195,41,4454,28
icr011241,35553,41,2947,28
icr011242,44298,41,2794,28
icr011263,38525,41,6483,28
icr011264,49491,41,6619,28
icr011281,20286,41,2117,28
icr011282,30795,41,2278,28
icr011301,11142,41,2188,28
icr011302,26385,41,3694,28
icr011321,40314,41,1987,28
icr011322,46974,41,1621,28
icr011824,17298,41,20831,28
icr011825,15361,41,16904,28
icr011843,11851,41,12740,28
icr011844,10831,41,12704,28
icr011863,7830,41,5851,28
icr011864,10363,41,5745,28
icr011881,20095,41,35969,28
icr011882,16695,41,29698,28
icr011901,14615,41,15815,28
icr011902,17156,41,17786,28
icr011921,24129,41,13178,28
icr011922,31416,41,12339,28
icr011941,27876,41,37564,28
icr011942,27016,41,34568,28
icr011960,26521,41,30262,28
icr011961,23869,41,31939,28
icr011978,40923,41,5797,28
icr011979,49151,41,5250,28
icr011990,35241,41,6484,28
icr011991,36999,41,7033,28
icr012008,21678,41,12389,28
icr012009,31277,41,11776,28
icr012027,27858,41,17538,44
icr012028,26410,41,12572,55
icr012043,49099,41,8294,28
icr012044,44889,41,6442,28
icr012063,42079,41,7760,28
icr012064,38059,41,6636,28
icr012083,14238,41,15014,28
icr012084,12955,41,14277,28
icr012087,26295,41,7130,28
icr012088,32100,41,6323,28
icr014408,47484,41,23381,28
icr014409,49469,41,24392,28
icr014428,44104,41,2173,28
icr014429,48463,41,2299,28
icr014448,50289,177,10630,28
icr014449,48484,41,10118,28
icr014468,28558,41,8616,28
icr014469,32855,41,8531,28
icr014488,62609,41,14846,28
icr014489,71202,41,17819,28
icr014508,65069,80,21045,28
icr014509,71479,41,19355,28
icr014528,64873,44,23442,28
icr014529,60130,41,20116,28
icr014548,44598,149,22085,28
icr014549,53392,90,24678,28
icr014568,51452,41,20539,28
icr014569,57545,41,22918,28
icr014588,47006,41,27121,28
icr014589,42453,41,26515,28
icr014608,46374,41,4035,28
icr014609,44977,41,3771,28
icr014628,51662,41,15527,28
icr014629,57547,41,15411,28
icr014648,45233,41,17085,28
icr014649,52352,41,18495,28
icr014668,48466,41,13656,28
icr014669,54100,41,14620,28
icr014688,48883,41,11891,28
icr014689,47558,41,11679,28
icr014708,45783,41,9947,28
icr014709,48308,41,9055,28
icr014743,25468,41,37848,28
icr014744,31960,41,39198,28
icr014763,45892,41,77898,28
icr014764,50533,41,72038,28
icr014783,25595,41,35100,28
icr014784,32086,41,35334,28
icr014803,33879,41,27141,28
icr014804,39231,41,24653,28
icr014823,32407,41,16318,28
icr014824,36921,41,14720,28
icr014843,19494,41,21351,28
icr014844,19389,41,20033,28
icr014863,43493,427,30462,28
icr014864,48540,620,33155,28
icr014883,43429,41,9449,28
icr014884,51620,55,7890,28
icr014903,32306,41,11866,28
icr014904,31473,59,10409,28
icr014923,35351,185,18197,28
icr014924,40458,127,30406,28
icr014943,41555,266,19135,28
icr014944,30860,41,30235,28
icr014963,18978,41,14777,28
icr014964,17838,41,13999,28
icr014983,31590,41,6672,28
icr014984,43163,40,6864,28
icr015003,18095,41,11746,28
icr015004,21567,41,11669,28
icr015023,41746,136,27986,28
icr015024,43245,57,26045,28
icr015043,24046,41,18069,28
icr015044,30703,41,17066,28
icr015063,15539,41,1387,28
icr015064,21622,41,1386,28
icr015083,38696,49,3205,28
icr015084,48120,89,1443,28
icr015103,33311,506,3887,28
icr015104,38128,210,3701,28
icr015122,62755,41,1478,28
icr015123,65411,41,1314,28
icr015137,26942,41,2374,28
icr015138,38402,41,2659,28
icr015157,29623,41,3152,28
icr015158,40095,41,3742,28
icr015177,19612,41,3354,28
icr015178,34716,41,3832,28
icr015199,43156,41,5438,28
icr015200,36790,41,5963,28
icr015216,7999,41,3775,28
icr015217,13329,41,3896,28
icr015236,11505,41,4173,28
icr015237,14426,41,4401,28
icr015256,36822,41,4164,28
icr015257,27474,41,4305,28
icr015275,15558,41,2579,28
icr015276,30014,41,2917,28
icr015295,18996,41,3923,28
icr015296,35005,41,4953,28
icr015315,29338,41,3061,28
icr015316,17202,41,4551,28
icr015335,29449,994,4472,28
icr015336,32903,1197,4757,28
icr015352,12742,41,2763,28
icr015353,16641,41,2431,28
icr015432,22259,41,2530,28
icr015433,23623,41,2498,28
icr015452,20673,41,1098,28
icr015453,33533,41,1136,28
icr015472,34858,41,2965,28
icr015473,41743,41,3001,28
icr015492,39391,41,5557,28
icr015493,41660,41,5665,28
icr015512,36481,41,3576,28
icr015513,46090,41,3658,28
icr015532,36814,41,2596,28
icr015533,47175,41,2399,28
icr015552,30039,41,2314,28
icr015553,34632,41,2742,28
icr015572,34496,41,5465,28
icr015573,36294,41,5462,28
icr015592,12452,41,1734,28
icr015593,16804,41,2022,28
icr015612,46272,41,3022,28
icr015613,34701,41,2843,28
icr015632,28931,41,3897,28
icr015633,35410,41,4903,28
icr015652,41676,41,4105,28
icr015653,50263,41,4233,28
icr015672,7892,41,1317,28
icr015673,6540,41,1239,28
icr015692,28205,41,6213,28
icr015693,36977,41,9562,28
icr015712,35073,41,5158,28
icr015713,46512,41,5789,28
icr015732,20713,41,906,28
icr015733,31525,41,1078,28
icr015752,42857,41,2561,28
icr015753,35263,41,2614,28
icr015772,44998,41,2874,28
icr015773,53022,41,2859,28
icr015792,30750,41,3942,28
icr015793,40751,41,3668,28
icr015812,31864,41,2076,28
icr015813,36213,41,2196,28
icr015832,32380,41,11826,28
icr015833,31434,41,14868,28
icr015852,44910,41,2169,28
icr015853,57088,41,1771,28
icr015872,41290,41,2866,28
icr015873,47796,41,2711,28
icr015892,20382,41,5094,28
icr015893,27326,41,5011,28
icr015912,38987,41,6596,28
icr015913,45932,41,4790,28
icr015932,62419,41,1281,28
icr015933,64209,41,1149,28
icr015952,46472,41,3657,28
icr015953,52557,41,3608,28
icr015972,28939,41,1961,28
icr015973,35299,41,2026,28
icr015992,12471,41,1300,28
icr015993,12839,41,1211,28
icr016012,38003,41,5797,28
icr016013,43340,41,5296,28
icr016032,41501,41,3983,28
icr016033,44815,46,3204,28
icr016052,47130,41,3329,28
icr016053,57235,41,3517,28
icr020848,9126,41,6307,28
icr020849,5886,41,5221,28
icr020868,4785,41,4281,28
icr020869,4571,41,4688,28
icr020888,18053,41,15632,28
icr020889,24697,41,10602,28
icr020908,31639,41,32775,28
icr020909,30898,41,30645,28
icr020927,10867,41,10040,28
icr020928,11427,41,10491,28
icr020947,15909,41,20789,28
icr020948,10951,41,12776,28
icr020970,30177,41,53527,28
icr020971,31452,41,55711,28
icr020986,18823,41,30876,28
icr020987,20318,41,32426,28
icr021004,26194,41,34793,28
icr021005,26744,41,34861,28
icr021023,25446,41,12886,28
icr021024,24235,35,9167,28
icr021043,5930,41,4391,28
icr021044,5848,41,5179,28
icr021063,14697,41,12143,28
icr021064,12127,41,10793,28
icr021083,4272,41,1463,28
icr021084,4570,41,1523,28
icr021103,11443,41,9515,28
icr021104,8923,41,6839,28
icr021123,8428,41,7629,28
icr021124,9024,41,8467,28
icr021141,7789,43,5428,28
icr021142,7137,48,4954,28
icr023116,11681,41,4094,28
icr023117,13423,41,4617,28
icr023136,26361,40,17482,28
icr023137,28659,41,19504,28
icr023155,36598,41,37432,28
icr023156,46010,41,32221,28
icr023175,50016,425,2820,28
icr023176,59852,316,2559,28
icr023195,23826,55,9917,28
icr023213,40874,41,4374,28
icr023214,61232,167,3370,28
icr023233,36452,40,5909,28
icr023234,49325,41,4664,28
icr023253,32498,222,2845,28
icr023254,19682,41,2628,28
icr023273,41506,204,1521,28
icr023274,62583,272,1469,28
icr023293,31250,39,8368,28
icr023294,46710,41,6598,28
icr023313,59012,311,2050,28
icr023314,71200,198,1578,28
icr023333,48979,450,2218,28
icr023334,62991,459,1858,28
icr023353,38151,42,34037,28
icr023354,37546,41,22175,28
icr023373,30489,125,8073,28
icr023374,41911,57,7681,28
icr023393,42548,48,3344,28
icr023394,54839,78,2798,28
icr023413,54588,1260,6426,28
icr023414,57996,1263,5583,28
icr023433,22215,41,30869,28
icr023434,28938,66,33438,28
icr023453,49490,41,12831,28
icr023454,46016,41,11990,28
icr023473,27057,41,21245,28
icr023474,26461,41,19205,28
icr023493,20014,41,4708,28
icr023494,22529,41,4611,28
icr023513,11811,41,6556,28
icr023514,9694,41,5204,28
icr023533,12634,41,10438,28
icr023534,15429,41,11989,28
icr023553,16312,41,7518,28
icr023554,21090,41,7986,28
icr023573,24226,41,12912,28
icr023574,27055,41,13946,28
icr023593,28085,41,15212,28
icr023594,29496,41,13650,28
icr023613,33773,41,17491,28
icr023614,32636,41,17328,28
icr023633,36479,41,33385,28
icr023634,40886,41,37552,28
icr023652,43930,41,19310,28
icr023653,41567,41,17987,28
icr023672,37307,41,29338,28
icr023673,41589,41,31426,28
icr023692,37870,41,49665,28
icr023693,37704,41,48841,28
icr023712,42266,41,36636,28
icr023713,42563,41,38618,42
icr023731,29527,41,45266,28
icr023732,29580,41,42774,28
icr024868,20875,41,30656,28
icr024869,24888,41,29777,28
icr024879,21221,41,16610,28
icr024880,27784,41,15196,28
icr024899,20909,41,26366,28
icr024900,21448,41,26549,28
icr024917,28700,41,27692,28
icr024918,57204,41,49080,28
icr024937,12582,41,11798,28
icr024938,12318,41,11664,28
icr024956,26493,41,26169,28
icr024957,32010,41,25459,28
icr024976,9753,41,7646,28
icr024977,9525,41,7043,28
icr024994,27279,41,27537,28
icr024995,35997,41,28764,28
icr025009,21123,41,20245,28
icr025010,20166,41,21115,28
icr025016,11338,41,3751,28
icr025017,13004,41,3395,28
icr025036,17608,41,22669,28
icr025037,16869,41,21434,28
icr025055,17963,41,25866,28
icr025056,18718,41,25739,28
icr025074,21346,41,26786,28
icr025075,28425,41,25137,28
icr025092,21079,41,26000,28
icr025093,22299,41,25248,28
icr025111,20481,41,20120,28
icr025112,21132,41,17106,28
icr025135,32893,41,50827,28
icr025136,36986,41,55990,28
icr030024,54568,578,4792,35
icr030025,65507,552,4260,28
icr030043,58029,1163,6757,69
icr030044,55995,617,5602,35
icr030063,37099,1651,6684,84
icr030064,48011,1280,6035,28
icr030083,58108,807,5067,84
icr030084,59371,594,4527,28
icr030103,45728,73,19903,28
icr030104,45659,68,21115,28
icr030123,46582,41,28134,28
icr030124,47434,41,26562,28
icr030143,35305,437,8205,28
icr030144,41979,231,8726,28
icr030163,39123,399,5409,28
icr030164,46829,162,4841,28
icr030183,48299,169,19254,28
icr030184,49790,255,19841,28
icr030200,65808,397,5876,28
icr030201,62191,581,5983,99
icr030218,47597,76,24099,28
icr030219,58249,62,23685,28
icr030238,57036,398,5966,28
icr030239,65396,286,5833,28
icr030258,38358,41,26312,28
icr030259,41419,41,33953,28
icr030276,49291,232,9482,28
icr030277,49116,228,10380,28
icr030296,39811,436,13030,28
icr030297,44854,272,13263,28
icr030316,48136,247,24399,28
icr030317,47533,218,23489,28
icr030335,30783,195,15612,127
icr030336,38268,652,16624,129
icr030352,24501,1422,10196,57
icr030353,25233,1664,9537,132
icr030367,17019,576,12050,28
icr030368,13772,967,9750,28
icr030376,8876,2242,2955,28
icr030377,8081,2358,2673,28
icr030387,36532,628,17021,149
icr030388,40062,689,17432,66
icr030400,39909,493,16451,88
icr030401,38138,440,15035,112
icr030416,29285,1263,11698,347
icr030430,34236,1225,13265,239
icr030431,35159,1025,13099,136
icr030438,39907,488,17824,58
icr030439,30339,457,13829,28
icr030458,34900,446,16666,36
icr030459,36073,465,18058,47
icr030478,27239,911,15785,370
icr030479,28357,1127,17291,363
icr030494,38306,447,17709,40
icr030495,35442,349,15745,28
icr030511,30917,870,15242,485
icr030512,29343,572,12925,416
icr030531,31803,341,15354,28
icr030532,21157,2013,18735,1059
icr030551,37960,459,16797,45
icr030552,36208,515,16202,28
icr030571,37472,409,15640,28
icr030572,35989,527,14651,41
icr033351,38138,41,16716,179
icr033352,45692,41,18901,1194
icr033371,43944,164,22734,34
icr033372,45820,41,21912,128
icr033389,40674,340,21749,28
icr033390,44752,354,23489,28
icr033392,35458,500,21790,28
icr033393,45871,554,26056,28
icr033407,45577,41,19033,431
icr033408,49518,41,20490,9704
icr033427,53817,348,23928,28
icr033428,51692,41,22378,8245
icr033445,48681,369,25974,28
icr033446,46506,41,23664,195
icr033447,47942,322,32031,28
icr033448,64141,352,38819,28
icr033466,53190,356,25995,28
icr033467,62230,41,31620,91
icr033486,40141,84,18616,87
icr033487,50119,50,24042,3139
icr033506,48278,306,26503,28
icr033507,50302,273,26998,28
icr033525,28788,41,13942,28
icr033526,32968,41,14674,28
icr033545,42113,41,26891,28
icr033546,45686,431,28913,28
icr033566,46568,94,28516,28
icr033567,38787,161,25629,28
icr033580,38831,554,31285,64
icr033581,39393,641,32526,28
icr033582,54086,461,22825,28
icr033583,55875,640,22517,28
icr033602,34829,175,21114,28
icr033603,32152,322,20035,28
icr033621,27586,403,16343,28
icr033622,25532,432,15846,28
icr033637,35223,388,22745,28
icr033638,28641,278,17472,28
icr033656,33259,131,17462,28
icr033657,35269,194,16573,28
icr033676,38414,210,34587,28
icr033677,34754,300,28018,28
icr033696,27834,175,11825,28
icr033697,35223,212,12878,28
icr033714,36077,180,20058,28
icr033715,36785,205,22094,28
icr033732,28748,363,13270,28
icr033733,31762,160,12414,28
icr033752,40800,173,24597,28
icr033753,39630,271,23007,28
icr033771,43754,94,24542,28
icr033772,39203,168,23315,28
icr033791,35197,83,19177,28
icr033792,29744,364,15259,28
icr033811,38995,131,19926,28
icr033812,33974,153,16277,28
icr033831,28744,100,12069,28
icr033832,31156,349,12206,88
icr033851,38977,61,24126,28
icr033852,38970,199,24617,28
icr033871,27078,498,15078,28
icr033872,29038,298,17786,28
icr033890,34175,166,17608,28
icr033891,32218,340,14829,28
icr033910,9574,41,8317,28
icr033911,11100,41,7976,28
icr033930,16483,41,26967,28
icr033931,17171,41,22723,28
icr033950,17038,41,6929,28
icr033951,24171,41,8559,28
icr033970,16828,41,14091,28
icr033971,17421,41,13718,28
icr033990,13334,41,11299,28
icr033991,13729,41,8583,28
icr034010,7436,41,4350,28
icr034011,8507,41,4843,28
icr034030,13733,41,7793,28
icr034031,8190,41,3546,28
icr034050,10738,41,2735,28
icr034051,15255,41,3210,28
icr034070,9696,41,6435,28
icr034071,11691,41,6972,28
icr034090,9218,41,5082,28
icr034091,10198,41,5227,28
icr034110,7289,41,3081,28
icr034111,11858,41,3349,28
icr034130,7873,41,2028,28
icr034131,9762,41,2192,28
icr034150,8824,41,7379,28
icr034151,8868,41,7622,28
icr034170,7665,41,2518,28
icr034171,9010,41,2383,28
icr034190,14025,42,1809,28
icr034191,9008,48,1768,28
icr034210,12002,55,1763,28
icr034211,20811,63,2402,28
icr034262,20114,41,10118,28
icr034263,24203,315,10397,28
icr034282,12027,41,9656,28
icr034283,13867,98,8314,28
icr034302,22563,128,18454,28
icr034303,18592,103,19253,28
icr034322,17292,38,23119,28
icr034323,24049,82,22144,28
icr034342,16094,41,9730,28
icr034343,18709,78,7915,28
icr034362,20385,41,19245,28
icr034363,24032,41,17105,28
icr034382,20982,44,32999,28
icr034383,22136,41,34452,28
icr034402,16825,41,13934,28
icr034403,15972,39,16076,28
icr034422,12910,39,12258,28
icr034423,18720,39,11732,28
icr034441,19610,41,11218,28
icr034442,32852,41,10160,28
icr034461,6577,41,3662,28
icr034462,7401,39,4231,28
icr034481,9899,33,4050,28
icr034482,7250,36,4148,28
icr034501,24354,41,28747,28
icr034502,26202,41,28329,28
icr034521,71835,50,2156,28
icr034522,82579,74,1034,28
icr034541,9026,41,3596,28
icr034542,7708,41,3255,28
icr034561,10263,41,5469,28
icr034562,14034,36,5605,28
icr034613,28103,41,980,28
icr034614,34373,41,870,28
icr034633,45800,41,1102,28
icr034634,44935,41,931,28
icr034653,20712,41,2331,28
icr034654,29589,41,2351,28
icr034673,26955,41,860,28
icr034674,41492,41,882,28
icr034693,29891,41,2896,28
icr034694,31507,41,2525,28
icr034713,40290,41,1373,28
icr034714,42269,41,1284,28
icr034733,26082,41,1010,28
icr034734,43271,41,1047,28
icr034753,20656,41,1421,28
icr034754,32613,41,1395,28
icr034773,34139,41,1089,28
icr034774,36120,41,1353,28
icr034793,46040,41,1353,28
icr034794,49862,41,1248,28
icr034813,29343,41,27557,28
icr034814,30769,41,27367,28
icr034833,21962,41,5194,28
icr034834,29768,41,4755,28
icr034853,26674,41,2609,28
icr034854,25700,41,2451,28
icr034873,38851,41,7758,28
icr034874,33606,41,5281,28
icr034893,16142,41,6460,28
icr034894,22110,41,6745,28
icr034913,26709,41,23081,28
icr034914,28176,41,21202,28
icr037417,17978,41,883,28
icr037418,36496,41,1541,28
icr037445,14838,41,1039,28
icr037446,34407,41,1805,28
icr037453,16560,41,1758,28
icr037454,21109,41,1765,28
icr037475,9644,41,688,28
icr037476,13155,41,950,28
icr037491,18880,41,1522,28
icr037492,40698,41,2725,28
icr037511,14756,41,905,28
icr037512,24375,41,1306,28
icr037531,11453,41,1219,28
icr037532,17589,41,1448,28
icr037553,9254,41,509,28
icr037554,15658,41,659,28
icr037574,9448,41,843,28
icr037575,10840,41,834,28
icr037590,23945,41,2337,28
icr037591,43552,41,3417,28
icr037620,13561,41,768,28
icr037621,24886,41,1139,28
icr037626,20557,41,1549,28
icr037627,41520,41,2308,28
icr037646,14888,41,874,28
icr037647,19604,41,1066,28
icr037675,35614,41,2298,28
icr037676,37396,41,2126,28
icr037689,36937,41,2406,28
icr037690,34122,41,2243,28
icr037699,61578,41,4461,28
icr037700,56056,41,4135,28
icr037755,56704,152,1753,73
icr037756,64721,141,1642,45
icr037767,50115,41,15952,28
icr037768,48929,41,12534,28
icr037787,46036,44,19080,28
icr037788,46450,58,17752,28
icr037807,42550,169,15155,28
icr037808,49773,154,18156,28
icr037843,49873,64,1326,28
icr037844,58245,61,1351,28
icr037851,58625,79,5637,28
icr037852,59410,94,5219,28
icr037869,45583,111,32810,28
icr037870,48960,134,34845,28
icr037901,55587,105,20383,28
icr037902,57116,65,29603,28
icr037907,66214,510,1268,47
icr037908,73890,574,1012,28
icr037927,42134,172,20248,28
icr037928,42513,161,22869,28
icr037947,55777,41,43707,28
icr037948,61214,57,42201,28
icr037969,58198,132,45495,28
icr037970,65949,128,45099,28
icr037986,57104,155,2421,70
icr037987,66297,278,2913,28
icr038016,56967,41,36990,28
icr038017,43416,41,39146,28
icr038034,57198,41,2411,28
icr038035,58542,41,2089,28
icr038056,62973,87,1675,28
icr038057,58029,72,1838,28
icr038106,39026,402,4774,28
icr038107,45038,277,6254,28
icr038118,44274,217,5173,28
icr038119,43873,262,5016,28
icr038138,40026,475,15872,28
icr038139,37466,376,13754,28
icr038154,45137,137,12848,28
icr038155,46922,228,12959,28
icr038170,47567,46,2253,28
icr038171,40667,41,1199,28
icr038189,47236,785,22903,28
icr038190,53085,544,24941,28
icr038216,49291,118,11141,28
icr038234,36392,482,11666,28
icr038235,36448,404,11651,28
icr038251,46314,46,5443,34
icr038252,49742,50,5348,28
icr038273,54315,136,4855,28
icr038274,52969,153,4325,28
icr038289,49175,324,15369,28
icr038290,48845,251,14710,28
icr038305,40932,736,17242,28
icr038306,36279,519,14720,28
icr038312,40825,577,7015,28
icr038313,42176,764,6580,28
icr038331,44711,201,3477,28
icr038332,46886,187,3266,28
icr038351,47632,590,12551,28
icr038352,47061,534,11993,28
icr038368,41980,41,26152,28
icr038369,46350,41,28744,28
icr041641,22935,41,9327,28
icr041642,23320,41,8279,176
icr041659,23620,41,15259,28
icr041660,33165,41,19848,28
icr041679,25230,41,18230,28
icr041680,37604,41,23040,28
icr041699,21739,41,18290,28
icr041700,25849,41,18573,28
icr041719,20942,41,8497,28
icr041720,22529,41,8985,98
icr041739,19587,41,6527,28
icr041740,22244,41,6487,28
icr041759,30223,41,18636,28
icr041760,32511,41,19744,28
icr041779,29225,41,21966,28
icr041780,28925,41,21616,28
icr041799,31725,41,12156,28
icr041800,28757,41,12200,244
icr041819,31824,41,14132,28
icr041820,30454,41,12642,2375
icr041838,23031,41,9590,28
icr041839,25285,41,10529,28
icr041858,28943,41,13288,28
icr041859,29685,41,13525,28
icr041878,19118,41,8935,28
icr041879,18946,41,7430,28
icr041898,27719,41,5525,28
icr041899,23216,41,7248,28
icr041915,28181,41,12494,28
icr041916,26989,41,11359,28
icr041935,26503,41,12229,28
icr041936,32190,41,13135,28
icr041987,24538,384,14200,28
icr041988,31852,792,16012,28
icr042004,37303,41,11197,28
icr042005,35277,41,10292,28
icr042024,20036,41,9794,28
icr042025,21673,41,10186,28
icr042048,44905,41,11523,28
icr042049,42409,41,11559,28
icr042062,35503,41,10454,28
icr042063,43450,41,10837,28
icr042078,32332,41,7309,28
icr042079,31694,41,7611,28
icr042098,23648,41,5927,28
icr042099,27971,41,6131,28
icr042115,48189,41,13794,28
icr042116,61075,41,12614,28
icr042134,37636,41,14012,28
icr042135,41888,41,13327,28
icr042152,25773,41,6886,28
icr042153,26826,41,7046,28
icr042170,17411,41,9184,28
icr042171,24307,41,9129,28
icr042189,50311,41,12384,188
icr042190,50301,41,11993,28
icr042208,37388,41,9593,28
icr042209,45966,41,9910,28
icr042227,37674,41,19588,28
icr042228,40044,41,19777,28
icr042247,29970,41,10225,28
icr042248,32863,41,9948,28
icr042265,15622,41,4780,28
icr042266,30524,41,5469,28
icr042790,74510,41,2631,157
icr042791,74781,41,2587,139
icr042810,51933,41,2504,28
icr042811,43190,41,1986,28
icr042836,73989,41,3652,37
icr042837,68064,41,3336,48
icr042853,58453,41,2000,172
icr042854,58235,41,1798,181
icr042867,77134,41,3130,85
icr042868,89068,41,3338,75
icr042896,56130,41,5719,28
icr042897,57382,41,5802,28
icr042908,60165,41,1724,28
